,cell_type,sex,race,count,percentage
0,B cell,female,Asian,760,0.07812210896800693
1,lymphocyte,female,Asian,20,0.002055844972842288
2,natural killer cell,female,Asian,131,0.013465784572116985
3,"CD4-positive, alpha-beta T cell",female,Asian,1900,0.19530527242001736
4,"CD8-positive, alpha-beta T cell",female,Asian,849,0.08727061909715512
5,plasmacytoid dendritic cell,female,Asian,36,0.0037005209511161183
6,classical monocyte,female,Asian,1170,0.12026693091127384
7,non-classical monocyte,female,Asian,98,0.01007364036692721
8,plasmablast,female,Asian,9,0.0009251302377790296
9,conventional dendritic cell,female,Asian,85,0.008737341134579723
10,progenitor cell,female,Asian,8,0.0008223379891369151
11,B cell,female,Asian,428,0.04399508241882496
12,lymphocyte,female,Asian,28,0.0028781829619792033
13,natural killer cell,female,Asian,104,0.010690393858779897
14,"CD4-positive, alpha-beta T cell",female,Asian,1421,0.14606778532044457
15,"CD8-positive, alpha-beta T cell",female,Asian,730,0.07503834150874351
16,plasmacytoid dendritic cell,female,Asian,2,0.00020558449728422877
17,classical monocyte,female,Asian,439,0.045125797153888224
18,non-classical monocyte,female,Asian,31,0.003186559707905546
19,plasmablast,female,Asian,3,0.00030837674592634317
20,conventional dendritic cell,female,Asian,17,0.0017474682269159449
21,progenitor cell,female,Asian,1,0.00010279224864211439
22,B cell,female,European,1807,0.1857455932963007
23,lymphocyte,female,European,37,0.0038033131997582325
24,natural killer cell,female,European,864,0.08881250282678683
25,"CD4-positive, alpha-beta T cell",female,European,4790,0.492374870995728
26,"CD8-positive, alpha-beta T cell",female,European,3423,0.3518578671019576
27,plasmacytoid dendritic cell,female,European,72,0.0074010419022322365
28,classical monocyte,female,European,2407,0.24742094248156937
29,non-classical monocyte,female,European,490,0.050368201834636056
30,plasmablast,female,European,9,0.0009251302377790296
31,conventional dendritic cell,female,European,190,0.019530527242001734
32,progenitor cell,female,European,3,0.00030837674592634317
33,B cell,female,Asian,100,0.01027922486421144
34,lymphocyte,female,Asian,7,0.0007195457404948008
35,natural killer cell,female,Asian,185,0.019016565998791164
36,"CD4-positive, alpha-beta T cell",female,Asian,782,0.08038353843813345
37,"CD8-positive, alpha-beta T cell",female,Asian,463,0.04759281112129896
38,plasmacytoid dendritic cell,female,Asian,6,0.0006167534918526863
39,classical monocyte,female,Asian,310,0.031865597079055466
40,non-classical monocyte,female,Asian,34,0.0034949364538318897
41,conventional dendritic cell,female,Asian,45,0.004625651188895148
42,progenitor cell,female,Asian,1,0.00010279224864211439
43,B cell,female,European,1511,0.15531908769823485
44,lymphocyte,female,European,74,0.007606626399516465
45,natural killer cell,female,European,1946,0.20003371585755458
46,"CD4-positive, alpha-beta T cell",female,European,6221,0.6394705788025936
47,"CD8-positive, alpha-beta T cell",female,European,3548,0.3647068981822219
48,plasmacytoid dendritic cell,female,European,104,0.010690393858779897
49,classical monocyte,female,European,3611,0.37118280984667507
50,non-classical monocyte,female,European,844,0.08675665785394454
51,plasmablast,female,European,31,0.003186559707905546
52,conventional dendritic cell,female,European,223,0.02292267144719151
53,progenitor cell,female,European,30,0.003083767459263432
54,B cell,female,Asian,206,0.021175203220275565
55,lymphocyte,female,Asian,3,0.00030837674592634317
56,natural killer cell,female,Asian,290,0.029809752106213176
57,"CD4-positive, alpha-beta T cell",female,Asian,1429,0.14689012330958146
58,"CD8-positive, alpha-beta T cell",female,Asian,323,0.033201896311402954
59,plasmacytoid dendritic cell,female,Asian,11,0.0011307147350632584
60,classical monocyte,female,Asian,821,0.08439243613517591
61,non-classical monocyte,female,Asian,135,0.013876953566685444
62,plasmablast,female,Asian,4,0.00041116899456845754
63,conventional dendritic cell,female,Asian,34,0.0034949364538318897
64,progenitor cell,female,Asian,13,0.0013362992323474872
65,B cell,female,European,3193,0.32821564991427127
66,lymphocyte,female,European,116,0.01192390084248527
67,natural killer cell,female,European,2299,0.23631937962822097
68,"CD4-positive, alpha-beta T cell",female,European,9624,0.989272600931709
69,"CD8-positive, alpha-beta T cell",female,European,4460,0.4584534289438302
70,plasmacytoid dendritic cell,female,European,236,0.024258970679538996
71,classical monocyte,female,European,4692,0.48230123062880076
72,non-classical monocyte,female,European,805,0.08274776015690209
73,plasmablast,female,European,28,0.0028781829619792033
74,conventional dendritic cell,female,European,387,0.039780600224498266
75,progenitor cell,female,European,5,0.000513961243210572
76,B cell,female,Asian,412,0.04235040644055113
77,lymphocyte,female,Asian,13,0.0013362992323474872
78,natural killer cell,female,Asian,247,0.025389685414602257
79,"CD4-positive, alpha-beta T cell",female,Asian,581,0.05972229646106846
80,"CD8-positive, alpha-beta T cell",female,Asian,774,0.07956120044899653
81,plasmacytoid dendritic cell,female,Asian,10,0.001027922486421144
82,classical monocyte,female,Asian,631,0.06486190889317418
83,non-classical monocyte,female,Asian,33,0.0033921442051897746
84,plasmablast,female,Asian,1,0.00010279224864211439
85,conventional dendritic cell,female,Asian,45,0.004625651188895148
86,progenitor cell,female,Asian,2,0.00020558449728422877
87,B cell,female,European,3013,0.3097130451586907
88,lymphocyte,female,European,40,0.004111689945684576
89,natural killer cell,female,European,1226,0.12602329683523225
90,"CD4-positive, alpha-beta T cell",female,European,5800,0.5961950421242636
91,"CD8-positive, alpha-beta T cell",female,European,3985,0.40962711083882586
92,plasmacytoid dendritic cell,female,European,114,0.01171831634520104
93,classical monocyte,female,European,2981,0.306423693202143
94,non-classical monocyte,female,European,464,0.04769560336994108
95,plasmablast,female,European,4,0.00041116899456845754
96,conventional dendritic cell,female,European,268,0.02754832263608666
97,progenitor cell,female,European,12,0.0012335069837053727
98,B cell,female,Asian,470,0.04831235686179376
99,lymphocyte,female,Asian,11,0.0011307147350632584
100,natural killer cell,female,Asian,295,0.030323713349423746
101,"CD4-positive, alpha-beta T cell",female,Asian,1898,0.19509968792273313
102,"CD8-positive, alpha-beta T cell",female,Asian,469,0.04820956461315165
103,plasmacytoid dendritic cell,female,Asian,19,0.0019530527242001734
104,classical monocyte,female,Asian,1295,0.13311596199153813
105,non-classical monocyte,female,Asian,135,0.013876953566685444
106,plasmablast,female,Asian,16,0.0016446759782738302
107,conventional dendritic cell,female,Asian,106,0.010895978356064125
108,progenitor cell,female,Asian,7,0.0007195457404948008
109,B cell,female,European,4133,0.4248403636378588
110,lymphocyte,female,European,145,0.014904876053106588
111,natural killer cell,female,European,3257,0.3347943538273666
112,"CD4-positive, alpha-beta T cell",female,European,12143,1.248206275261195
113,"CD8-positive, alpha-beta T cell",female,European,6090,0.6260047942304767
114,plasmacytoid dendritic cell,female,European,350,0.03597728702474003
115,classical monocyte,female,European,7294,0.7497666615955824
116,non-classical monocyte,female,European,908,0.09333536176703987
117,plasmablast,female,European,24,0.0024670139674107454
118,conventional dendritic cell,female,European,637,0.06547866238502688
119,progenitor cell,female,European,16,0.0016446759782738302
120,B cell,female,Asian,574,0.05900275072057366
121,lymphocyte,female,Asian,13,0.0013362992323474872
122,natural killer cell,female,Asian,373,0.03834150874350867
123,"CD4-positive, alpha-beta T cell",female,Asian,1190,0.12232277588411612
124,"CD8-positive, alpha-beta T cell",female,Asian,467,0.04800398011586742
125,plasmacytoid dendritic cell,female,Asian,35,0.003597728702474004
126,classical monocyte,female,Asian,1103,0.11337985025225217
127,non-classical monocyte,female,Asian,231,0.023745009436328426
128,plasmablast,female,Asian,5,0.000513961243210572
129,conventional dendritic cell,female,Asian,106,0.010895978356064125
130,progenitor cell,female,Asian,5,0.000513961243210572
131,B cell,female,European,2615,0.2688017301991291
132,lymphocyte,female,European,47,0.004831235686179377
133,natural killer cell,female,European,1199,0.12324790612189516
134,"CD4-positive, alpha-beta T cell",female,European,6567,0.6750366968327652
135,"CD8-positive, alpha-beta T cell",female,European,3991,0.41024386433067855
136,plasmacytoid dendritic cell,female,European,186,0.019119358247433278
137,classical monocyte,female,European,3481,0.3578198175232002
138,non-classical monocyte,female,European,698,0.07174898955219584
139,plasmablast,female,European,9,0.0009251302377790296
140,conventional dendritic cell,female,European,454,0.046667680883519934
141,progenitor cell,female,European,6,0.0006167534918526863
142,B cell,female,European,1279,0.1314712860132643
143,lymphocyte,female,European,28,0.0028781829619792033
144,natural killer cell,female,European,501,0.051498916569699314
145,"CD4-positive, alpha-beta T cell",female,European,3322,0.341475849989104
146,"CD8-positive, alpha-beta T cell",female,European,1604,0.1648787668219515
147,plasmacytoid dendritic cell,female,European,69,0.007092665156305893
148,classical monocyte,female,European,1900,0.19530527242001736
149,non-classical monocyte,female,European,383,0.039369431229929815
150,plasmablast,female,European,1,0.00010279224864211439
151,conventional dendritic cell,female,European,179,0.01839981250693848
152,progenitor cell,female,European,7,0.0007195457404948008
153,B cell,female,Asian,276,0.028370660625223573
154,lymphocyte,female,Asian,11,0.0011307147350632584
155,natural killer cell,female,Asian,157,0.016138383036811962
156,"CD4-positive, alpha-beta T cell",female,Asian,809,0.08315892915147055
157,"CD8-positive, alpha-beta T cell",female,Asian,700,0.07195457404948007
158,plasmacytoid dendritic cell,female,Asian,8,0.0008223379891369151
159,classical monocyte,female,Asian,408,0.04193923744598267
160,non-classical monocyte,female,Asian,73,0.00750383415087435
161,plasmablast,female,Asian,1,0.00010279224864211439
162,conventional dendritic cell,female,Asian,32,0.0032893519565476603
163,progenitor cell,female,Asian,3,0.00030837674592634317
164,B cell,female,European,2217,0.2278904152395676
165,lymphocyte,female,European,66,0.006784288410379549
166,natural killer cell,female,European,1353,0.13907791241278078
167,"CD4-positive, alpha-beta T cell",female,European,5011,0.5150919579456352
168,"CD8-positive, alpha-beta T cell",female,European,3364,0.34579312443207283
169,plasmacytoid dendritic cell,female,European,103,0.010587601610137783
170,classical monocyte,female,European,2558,0.2629425720265286
171,non-classical monocyte,female,European,567,0.05828320498007886
172,plasmablast,female,European,16,0.0016446759782738302
173,conventional dendritic cell,female,European,252,0.025903646657812827
174,progenitor cell,female,European,13,0.0013362992323474872
175,B cell,female,Asian,1863,0.19150195922025912
176,lymphocyte,female,Asian,37,0.0038033131997582325
177,natural killer cell,female,Asian,1136,0.11677199445744195
178,"CD4-positive, alpha-beta T cell",female,Asian,6676,0.6862410519347557
179,"CD8-positive, alpha-beta T cell",female,Asian,3370,0.3464098779239255
180,plasmacytoid dendritic cell,female,Asian,58,0.005961950421242635
181,classical monocyte,female,Asian,2447,0.25153263242725393
182,non-classical monocyte,female,Asian,298,0.03063209009535009
183,plasmablast,female,Asian,21,0.002158637221484402
184,conventional dendritic cell,female,Asian,275,0.028267868376581462
185,progenitor cell,female,Asian,13,0.0013362992323474872
186,B cell,female,European,1346,0.13835836667228596
187,lymphocyte,female,European,86,0.008840133383221838
188,natural killer cell,female,European,493,0.0506765785805624
189,"CD4-positive, alpha-beta T cell",female,European,4482,0.46071485841395676
190,"CD8-positive, alpha-beta T cell",female,European,2556,0.2627369875292444
191,plasmacytoid dendritic cell,female,European,80,0.008223379891369152
192,classical monocyte,female,European,2739,0.28154796903075135
193,non-classical monocyte,female,European,347,0.03566891027881369
194,plasmablast,female,European,2,0.00020558449728422877
195,conventional dendritic cell,female,European,203,0.02086682647434922
