,cell_type,sex,race,count,percentage
0,native cell,female,African,6,0.0022147740192242386
1,erythrocyte,female,African,1,0.00036912900320403973
2,B cell,female,African,34,0.01255038610893735
3,CD4-positive helper T cell,female,African,76,0.02805380424350702
4,natural killer cell,female,African,359,0.13251731215025028
5,plasmacytoid dendritic cell,female,African,3,0.0011073870096121193
6,plasma cell,female,African,6,0.0022147740192242386
7,naive B cell,female,African,371,0.13694686018869875
8,"CD8-positive, alpha-beta cytotoxic T cell",female,African,126,0.046510254403709005
9,gamma-delta T cell,female,African,38,0.01402690212175351
10,mature NK T cell,female,African,5,0.0018456450160201985
11,regulatory T cell,female,African,39,0.014396031124957551
12,classical monocyte,female,African,33,0.012181257105733312
13,non-classical monocyte,female,African,28,0.010335612089713113
14,"naive thymus-derived CD4-positive, alpha-beta T cell",female,African,333,0.12291995806694525
15,"naive thymus-derived CD8-positive, alpha-beta T cell",female,African,183,0.06755060758633927
16,"central memory CD8-positive, alpha-beta T cell",female,African,90,0.033221610288363575
17,"effector memory CD8-positive, alpha-beta T cell",female,African,21,0.007751709067284835
18,"CD4-positive, alpha-beta cytotoxic T cell",female,African,3,0.0011073870096121193
19,"CD16-negative, CD56-bright natural killer cell, human",female,African,9,0.003322161028836358
20,mucosal invariant T cell,female,African,24,0.008859096076896954
21,class switched memory B cell,female,African,39,0.014396031124957551
22,conventional dendritic cell,female,African,3,0.0011073870096121193
23,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,African,21,0.007751709067284835
24,native cell,female,European,27,0.009966483086509072
25,erythrocyte,female,European,2,0.0007382580064080795
26,platelet,female,European,5,0.0018456450160201985
27,B cell,female,European,51,0.018825579163406027
28,CD4-positive helper T cell,female,European,366,0.13510121517267853
29,natural killer cell,female,European,712,0.2628198502812763
30,plasmacytoid dendritic cell,female,European,35,0.012919515112141391
31,plasma cell,female,European,41,0.015134289131365629
32,naive B cell,female,European,1943,0.7172176532254492
33,"CD8-positive, alpha-beta cytotoxic T cell",female,European,128,0.047248512410117086
34,gamma-delta T cell,female,European,169,0.062382801541482714
35,regulatory T cell,female,European,104,0.038389416333220135
36,classical monocyte,female,European,1347,0.4972167673158416
37,non-classical monocyte,female,European,98,0.0361746423139959
38,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,1689,0.6234588864116231
39,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,936,0.3455047469989812
40,"central memory CD8-positive, alpha-beta T cell",female,European,137,0.05057067343895345
41,"effector memory CD8-positive, alpha-beta T cell",female,European,33,0.012181257105733312
42,"CD4-positive, alpha-beta cytotoxic T cell",female,European,4,0.001476516012816159
43,"CD16-negative, CD56-bright natural killer cell, human",female,European,56,0.020671224179426226
44,mucosal invariant T cell,female,European,24,0.008859096076896954
45,class switched memory B cell,female,European,233,0.08600705774654126
46,plasmablast,female,European,7,0.0025839030224282782
47,conventional dendritic cell,female,European,26,0.009597354083305034
48,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,European,7,0.0025839030224282782
49,innate lymphoid cell,female,European,10,0.003691290032040397
50,hematopoietic precursor cell,female,European,3,0.0011073870096121193
51,native cell,female,unknown,46,0.016979934147385828
52,platelet,female,unknown,1,0.00036912900320403973
53,B cell,female,unknown,25,0.009228225080100993
54,dendritic cell,female,unknown,3,0.0011073870096121193
55,CD4-positive helper T cell,female,unknown,325,0.11996692604131293
56,natural killer cell,female,unknown,1429,0.5274853455785729
57,plasmacytoid dendritic cell,female,unknown,33,0.012181257105733312
58,plasma cell,female,unknown,8,0.002953032025632318
59,naive B cell,female,unknown,438,0.16167850340336942
60,"CD8-positive, alpha-beta cytotoxic T cell",female,unknown,358,0.13214818314704624
61,gamma-delta T cell,female,unknown,259,0.09560441182984629
62,mature NK T cell,female,unknown,10,0.003691290032040397
63,regulatory T cell,female,unknown,47,0.01734906315058987
64,classical monocyte,female,unknown,1079,0.3982901944571589
65,non-classical monocyte,female,unknown,424,0.15651069735851283
66,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,1061,0.3916458723994862
67,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,805,0.297148847579252
68,"central memory CD8-positive, alpha-beta T cell",female,unknown,260,0.09597354083305033
69,"effector memory CD8-positive, alpha-beta T cell",female,unknown,27,0.009966483086509072
70,"CD4-positive, alpha-beta cytotoxic T cell",female,unknown,14,0.0051678060448565565
71,"CD16-negative, CD56-bright natural killer cell, human",female,unknown,180,0.06644322057672715
72,mucosal invariant T cell,female,unknown,43,0.01587254713777371
73,class switched memory B cell,female,unknown,34,0.01255038610893735
74,plasmablast,female,unknown,1,0.00036912900320403973
75,conventional dendritic cell,female,unknown,61,0.022516869195446425
76,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,unknown,64,0.023624256205058543
77,innate lymphoid cell,female,unknown,10,0.003691290032040397
78,hematopoietic precursor cell,female,unknown,5,0.0018456450160201985
79,native cell,female,African,32,0.011812128102529271
80,erythrocyte,female,African,23,0.008489967073692914
81,platelet,female,African,4,0.001476516012816159
82,B cell,female,African,28,0.010335612089713113
83,CD4-positive helper T cell,female,African,309,0.11406086199004829
84,natural killer cell,female,African,373,0.13768511819510681
85,plasmacytoid dendritic cell,female,African,21,0.007751709067284835
86,plasma cell,female,African,24,0.008859096076896954
87,naive B cell,female,African,503,0.185671888611632
88,"CD8-positive, alpha-beta cytotoxic T cell",female,African,173,0.06385931755429888
89,gamma-delta T cell,female,African,31,0.011442999099325233
90,mature NK T cell,female,African,4,0.001476516012816159
91,regulatory T cell,female,African,93,0.0343289972979757
92,classical monocyte,female,African,262,0.09671179883945842
93,non-classical monocyte,female,African,193,0.07124189761837967
94,"naive thymus-derived CD4-positive, alpha-beta T cell",female,African,1019,0.3761424542649165
95,"naive thymus-derived CD8-positive, alpha-beta T cell",female,African,336,0.12402734507655735
96,"central memory CD8-positive, alpha-beta T cell",female,African,244,0.0900674767817857
97,"effector memory CD8-positive, alpha-beta T cell",female,African,37,0.01365777311854947
98,"CD4-positive, alpha-beta cytotoxic T cell",female,African,25,0.009228225080100993
99,"CD16-negative, CD56-bright natural killer cell, human",female,African,37,0.01365777311854947
100,mucosal invariant T cell,female,African,20,0.007382580064080794
101,class switched memory B cell,female,African,90,0.033221610288363575
102,plasmablast,female,African,5,0.0018456450160201985
103,conventional dendritic cell,female,African,4,0.001476516012816159
104,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,African,18,0.006644322057672716
105,innate lymphoid cell,female,African,3,0.0011073870096121193
106,hematopoietic precursor cell,female,African,5,0.0018456450160201985
107,native cell,female,European,53,0.019563837169814104
108,erythrocyte,female,European,2,0.0007382580064080795
109,platelet,female,European,17,0.006275193054468675
110,B cell,female,European,33,0.012181257105733312
111,dendritic cell,female,European,1,0.00036912900320403973
112,CD4-positive helper T cell,female,European,704,0.25986681825564395
113,natural killer cell,female,European,1604,0.5920829211392797
114,plasmacytoid dendritic cell,female,European,12,0.004429548038448477
115,plasma cell,female,European,34,0.01255038610893735
116,naive B cell,female,European,1351,0.4986932833286577
117,"CD8-positive, alpha-beta cytotoxic T cell",female,European,529,0.195269242694937
118,gamma-delta T cell,female,European,68,0.0251007722178747
119,mature NK T cell,female,European,24,0.008859096076896954
120,regulatory T cell,female,European,224,0.0826848967177049
121,classical monocyte,female,European,751,0.2772158814062339
122,non-classical monocyte,female,European,227,0.08379228372731702
123,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,2294,0.8467819333500671
124,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,910,0.3359073929156762
125,"central memory CD8-positive, alpha-beta T cell",female,European,262,0.09671179883945842
126,"effector memory CD8-positive, alpha-beta T cell",female,European,44,0.016241676140977747
127,"CD4-positive, alpha-beta cytotoxic T cell",female,European,59,0.021778611189038344
128,"CD16-negative, CD56-bright natural killer cell, human",female,European,81,0.02989944925952722
129,mucosal invariant T cell,female,European,105,0.03875854533642417
130,class switched memory B cell,female,European,145,0.053523705464585764
131,plasmablast,female,European,4,0.001476516012816159
132,conventional dendritic cell,female,European,27,0.009966483086509072
133,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,European,205,0.07567144565682815
134,innate lymphoid cell,female,European,22,0.008120838070488873
135,hematopoietic precursor cell,female,European,12,0.004429548038448477
136,native cell,female,South Asian,46,0.016979934147385828
137,erythrocyte,female,South Asian,2,0.0007382580064080795
138,platelet,female,South Asian,4,0.001476516012816159
139,B cell,female,South Asian,11,0.004060419035244437
140,dendritic cell,female,South Asian,4,0.001476516012816159
141,CD4-positive helper T cell,female,South Asian,360,0.1328864411534543
142,natural killer cell,female,South Asian,755,0.27869239741905
143,plasmacytoid dendritic cell,female,South Asian,29,0.010704741092917153
144,plasma cell,female,South Asian,19,0.007013451060876755
145,naive B cell,female,South Asian,196,0.0723492846279918
146,"CD8-positive, alpha-beta cytotoxic T cell",female,South Asian,415,0.1531885363296765
147,gamma-delta T cell,female,South Asian,171,0.0631210595478908
148,mature NK T cell,female,South Asian,8,0.002953032025632318
149,regulatory T cell,female,South Asian,70,0.025839030224282782
150,classical monocyte,female,South Asian,1078,0.3979210654539549
151,non-classical monocyte,female,South Asian,44,0.016241676140977747
152,"naive thymus-derived CD4-positive, alpha-beta T cell",female,South Asian,801,0.29567233156643585
153,"naive thymus-derived CD8-positive, alpha-beta T cell",female,South Asian,562,0.20745049980067035
154,"central memory CD8-positive, alpha-beta T cell",female,South Asian,240,0.08859096076896954
155,"effector memory CD8-positive, alpha-beta T cell",female,South Asian,41,0.015134289131365629
156,"CD4-positive, alpha-beta cytotoxic T cell",female,South Asian,19,0.007013451060876755
157,"CD16-negative, CD56-bright natural killer cell, human",female,South Asian,117,0.04318809337487265
158,mucosal invariant T cell,female,South Asian,87,0.03211422327875146
159,class switched memory B cell,female,South Asian,42,0.01550341813456967
160,conventional dendritic cell,female,South Asian,77,0.02842293324671106
161,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,South Asian,19,0.007013451060876755
162,innate lymphoid cell,female,South Asian,8,0.002953032025632318
163,hematopoietic precursor cell,female,South Asian,7,0.0025839030224282782
164,native cell,female,African,12,0.004429548038448477
165,platelet,female,African,2,0.0007382580064080795
166,B cell,female,African,14,0.0051678060448565565
167,CD4-positive helper T cell,female,African,207,0.07640970366323624
168,natural killer cell,female,African,270,0.09966483086509073
169,plasmacytoid dendritic cell,female,African,8,0.002953032025632318
170,plasma cell,female,African,14,0.0051678060448565565
171,naive B cell,female,African,747,0.2757393653934177
172,"CD8-positive, alpha-beta cytotoxic T cell",female,African,129,0.04761764141332113
173,gamma-delta T cell,female,African,100,0.03691290032040397
174,mature NK T cell,female,African,11,0.004060419035244437
175,regulatory T cell,female,African,50,0.018456450160201986
176,classical monocyte,female,African,66,0.024362514211466624
177,non-classical monocyte,female,African,24,0.008859096076896954
178,"naive thymus-derived CD4-positive, alpha-beta T cell",female,African,678,0.250269464172339
179,"naive thymus-derived CD8-positive, alpha-beta T cell",female,African,471,0.1738597605091027
180,"central memory CD8-positive, alpha-beta T cell",female,African,136,0.0502015444357494
181,"effector memory CD8-positive, alpha-beta T cell",female,African,34,0.01255038610893735
182,"CD4-positive, alpha-beta cytotoxic T cell",female,African,18,0.006644322057672716
183,"CD16-negative, CD56-bright natural killer cell, human",female,African,36,0.013288644115345432
184,mucosal invariant T cell,female,African,91,0.03359073929156762
185,class switched memory B cell,female,African,39,0.014396031124957551
186,plasmablast,female,African,2,0.0007382580064080795
187,conventional dendritic cell,female,African,10,0.003691290032040397
188,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,African,46,0.016979934147385828
189,innate lymphoid cell,female,African,1,0.00036912900320403973
190,hematopoietic precursor cell,female,African,2,0.0007382580064080795
191,native cell,female,European,3,0.0011073870096121193
192,B cell,female,European,2,0.0007382580064080795
193,CD4-positive helper T cell,female,European,253,0.09338963781062205
194,natural killer cell,female,European,301,0.11110782996441597
195,plasmacytoid dendritic cell,female,European,4,0.001476516012816159
196,plasma cell,female,European,2,0.0007382580064080795
197,naive B cell,female,European,41,0.015134289131365629
198,"CD8-positive, alpha-beta cytotoxic T cell",female,European,37,0.01365777311854947
199,gamma-delta T cell,female,European,70,0.025839030224282782
200,mature NK T cell,female,European,1,0.00036912900320403973
201,regulatory T cell,female,European,29,0.010704741092917153
202,classical monocyte,female,European,84,0.03100683626913934
203,non-classical monocyte,female,European,28,0.010335612089713113
204,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,284,0.10483263690994728
205,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,225,0.08305402572090895
206,"central memory CD8-positive, alpha-beta T cell",female,European,50,0.018456450160201986
207,"effector memory CD8-positive, alpha-beta T cell",female,European,10,0.003691290032040397
208,"CD4-positive, alpha-beta cytotoxic T cell",female,European,1,0.00036912900320403973
209,"CD16-negative, CD56-bright natural killer cell, human",female,European,135,0.049832415432545366
210,mucosal invariant T cell,female,European,48,0.01771819215379391
211,class switched memory B cell,female,European,22,0.008120838070488873
212,plasmablast,female,European,1,0.00036912900320403973
213,conventional dendritic cell,female,European,7,0.0025839030224282782
214,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,European,33,0.012181257105733312
215,innate lymphoid cell,female,European,1,0.00036912900320403973
216,hematopoietic precursor cell,female,European,2,0.0007382580064080795
217,native cell,female,South Asian,17,0.006275193054468675
218,granulocyte,female,South Asian,1,0.00036912900320403973
219,erythrocyte,female,South Asian,1,0.00036912900320403973
220,platelet,female,South Asian,23,0.008489967073692914
221,B cell,female,South Asian,6,0.0022147740192242386
222,CD4-positive helper T cell,female,South Asian,496,0.18308798558920372
223,natural killer cell,female,South Asian,192,0.07087276861517564
224,naive B cell,female,South Asian,244,0.0900674767817857
225,"CD8-positive, alpha-beta cytotoxic T cell",female,South Asian,41,0.015134289131365629
226,gamma-delta T cell,female,South Asian,90,0.033221610288363575
227,mature NK T cell,female,South Asian,1,0.00036912900320403973
228,regulatory T cell,female,South Asian,123,0.04540286739409689
229,classical monocyte,female,South Asian,2497,0.9217151210004872
230,non-classical monocyte,female,South Asian,48,0.01771819215379391
231,"naive thymus-derived CD4-positive, alpha-beta T cell",female,South Asian,634,0.2340277880313612
232,"naive thymus-derived CD8-positive, alpha-beta T cell",female,South Asian,365,0.1347320861694745
233,"central memory CD8-positive, alpha-beta T cell",female,South Asian,123,0.04540286739409689
