,cell_type,sex,race,count,percentage
0,hematopoietic stem cell,female,European,13,0.012523602173326653
1,erythrocyte,female,European,14,0.013486956186659472
2,platelet,female,European,10,0.009633540133328197
3,lymphocyte,female,European,15,0.014450310199992293
4,natural killer cell,female,European,246,0.23698508727987364
5,neutrophil,female,European,9,0.008670186119995375
6,memory B cell,female,European,95,0.09151863126661786
7,naive B cell,female,European,119,0.11463912758660554
8,gamma-delta T cell,female,European,149,0.1435397479865901
9,regulatory T cell,female,European,40,0.03853416053331279
10,transitional stage B cell,female,European,65,0.06261801086663327
11,classical monocyte,female,European,185,0.1782204924665716
12,non-classical monocyte,female,European,27,0.026010558359986127
13,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,320,0.3082732842665023
14,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,92,0.08862856922661941
15,"central memory CD4-positive, alpha-beta T cell",female,European,226,0.21771800701321722
16,"effector memory CD8-positive, alpha-beta T cell",female,European,477,0.45951986435975495
17,"CD16-negative, CD56-bright natural killer cell, human",female,European,21,0.02023043427998921
18,mucosal invariant T cell,female,European,36,0.0346807444799815
19,IgG plasmablast,female,European,2,0.001926708026665639
20,IgA plasmablast,female,European,7,0.006743478093329736
21,conventional dendritic cell,female,European,23,0.022157142306654852
22,"activated CD4-positive, alpha-beta T cell, human",female,European,5,0.0048167700666640985
23,"plasmacytoid dendritic cell, human",female,European,12,0.011560248159993835
24,double negative thymocyte,female,European,10,0.009633540133328197
25,hematopoietic stem cell,female,European,37,0.03564409849331432
26,erythrocyte,female,European,35,0.033717390466648685
27,platelet,female,European,6,0.005780124079996917
28,lymphocyte,female,European,4,0.003853416053331278
29,natural killer cell,female,European,426,0.4103888096797811
30,neutrophil,female,European,7,0.006743478093329736
31,memory B cell,female,European,54,0.052021116719972255
32,naive B cell,female,European,60,0.05780124079996917
33,gamma-delta T cell,female,European,7,0.006743478093329736
34,regulatory T cell,female,European,14,0.013486956186659472
35,transitional stage B cell,female,European,56,0.05394782474663789
36,classical monocyte,female,European,508,0.48938383877307234
37,non-classical monocyte,female,European,132,0.12716272975993217
38,"naive thymus-derived CD4-positive, alpha-beta T cell",female,European,63,0.06069130283996763
39,"naive thymus-derived CD8-positive, alpha-beta T cell",female,European,12,0.011560248159993835
40,"central memory CD4-positive, alpha-beta T cell",female,European,65,0.06261801086663327
41,"effector memory CD8-positive, alpha-beta T cell",female,European,251,0.24180185734653772
42,"CD16-negative, CD56-bright natural killer cell, human",female,European,18,0.01734037223999075
43,mucosal invariant T cell,female,European,1,0.0009633540133328195
44,IgG plasmablast,female,European,1,0.0009633540133328195
45,IgA plasmablast,female,European,4,0.003853416053331278
46,conventional dendritic cell,female,European,33,0.031790682439983044
47,"plasmacytoid dendritic cell, human",female,European,22,0.02119378829332203
48,double negative thymocyte,female,European,2,0.001926708026665639
49,hematopoietic stem cell,female,unknown,2,0.001926708026665639
50,erythrocyte,female,unknown,2,0.001926708026665639
51,platelet,female,unknown,27,0.026010558359986127
52,lymphocyte,female,unknown,20,0.019267080266656394
53,natural killer cell,female,unknown,919,0.8853223382528611
54,memory B cell,female,unknown,77,0.0741782590266271
55,naive B cell,female,unknown,255,0.24565527339986898
56,gamma-delta T cell,female,unknown,224,0.21579129898655156
57,regulatory T cell,female,unknown,17,0.016377018226657932
58,transitional stage B cell,female,unknown,58,0.05587453277330353
59,classical monocyte,female,unknown,1064,1.02500867018612
60,non-classical monocyte,female,unknown,404,0.3891950213864591
61,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,227,0.21868136102655
62,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,10,0.009633540133328197
63,"central memory CD4-positive, alpha-beta T cell",female,unknown,592,0.5703055758930291
64,"effector memory CD8-positive, alpha-beta T cell",female,unknown,223,0.21482794497321875
65,"CD4-positive, alpha-beta cytotoxic T cell",female,unknown,92,0.08862856922661941
66,"CD16-negative, CD56-bright natural killer cell, human",female,unknown,38,0.03660745250664714
67,mucosal invariant T cell,female,unknown,13,0.012523602173326653
68,plasmablast,female,unknown,5,0.0048167700666640985
69,conventional dendritic cell,female,unknown,105,0.10115217139994605
70,"plasmacytoid dendritic cell, human",female,unknown,19,0.01830372625332357
71,erythrocyte,female,unknown,4,0.003853416053331278
72,platelet,female,unknown,9,0.008670186119995375
73,lymphocyte,female,unknown,10,0.009633540133328197
74,natural killer cell,female,unknown,593,0.571268929906362
75,memory B cell,female,unknown,126,0.12138260567993527
76,naive B cell,female,unknown,596,0.5741589919463604
77,gamma-delta T cell,female,unknown,281,0.2707024777465223
78,regulatory T cell,female,unknown,12,0.011560248159993835
79,transitional stage B cell,female,unknown,84,0.08092173711995684
80,classical monocyte,female,unknown,359,0.3458440907864822
81,non-classical monocyte,female,unknown,132,0.12716272975993217
82,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,84,0.08092173711995684
83,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,10,0.009633540133328197
