,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Single-cell multi-omics analysis of the immune response in COVID-19,erythrocyte,CL:0000232,female,unknown,fifth decade human stage,56,0.05337247314697444
1,Single-cell multi-omics analysis of the immune response in COVID-19,platelet,CL:0000233,female,unknown,fifth decade human stage,30,0.02859239632873631
2,Single-cell multi-omics analysis of the immune response in COVID-19,B cell,CL:0000236,female,unknown,fifth decade human stage,5,0.004765399388122719
3,Single-cell multi-omics analysis of the immune response in COVID-19,T-helper 1 cell,CL:0000545,female,unknown,fifth decade human stage,10,0.009530798776245438
4,Single-cell multi-omics analysis of the immune response in COVID-19,natural killer cell,CL:0000623,female,unknown,fifth decade human stage,7,0.006671559143371805
5,Single-cell multi-omics analysis of the immune response in COVID-19,"CD4-positive, alpha-beta T cell",CL:0000624,female,unknown,fifth decade human stage,1,0.0009530798776245437
6,Single-cell multi-omics analysis of the immune response in COVID-19,myeloid dendritic cell,CL:0000782,female,unknown,fifth decade human stage,14,0.01334311828674361
7,Single-cell multi-omics analysis of the immune response in COVID-19,plasmacytoid dendritic cell,CL:0000784,female,unknown,fifth decade human stage,17,0.016202357919617244
8,Single-cell multi-omics analysis of the immune response in COVID-19,naive B cell,CL:0000788,female,unknown,fifth decade human stage,214,0.20395909381165236
9,Single-cell multi-omics analysis of the immune response in COVID-19,gamma-delta T cell,CL:0000798,female,unknown,fifth decade human stage,113,0.10769802617157344
10,Single-cell multi-omics analysis of the immune response in COVID-19,mature NK T cell,CL:0000814,female,unknown,fifth decade human stage,3,0.002859239632873631
11,Single-cell multi-omics analysis of the immune response in COVID-19,regulatory T cell,CL:0000815,female,unknown,fifth decade human stage,2,0.0019061597552490874
12,Single-cell multi-omics analysis of the immune response in COVID-19,immature B cell,CL:0000816,female,unknown,fifth decade human stage,23,0.021920837185364504
13,Single-cell multi-omics analysis of the immune response in COVID-19,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,female,unknown,fifth decade human stage,317,0.30212632120698035
14,Single-cell multi-omics analysis of the immune response in COVID-19,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,female,unknown,fifth decade human stage,328,0.3126101998608503
15,Single-cell multi-omics analysis of the immune response in COVID-19,"central memory CD4-positive, alpha-beta T cell",CL:0000904,female,unknown,fifth decade human stage,1027,0.9788130343204063
16,Single-cell multi-omics analysis of the immune response in COVID-19,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,female,unknown,fifth decade human stage,3,0.002859239632873631
17,Single-cell multi-omics analysis of the immune response in COVID-19,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,female,unknown,fifth decade human stage,89,0.0848241091085844
18,Single-cell multi-omics analysis of the immune response in COVID-19,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,female,unknown,fifth decade human stage,90,0.08577718898620892
19,Single-cell multi-omics analysis of the immune response in COVID-19,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,female,unknown,fifth decade human stage,767,0.7310122661380251
20,Single-cell multi-omics analysis of the immune response in COVID-19,mucosal invariant T cell,CL:0000940,female,unknown,fifth decade human stage,101,0.09626106764007891
21,Single-cell multi-omics analysis of the immune response in COVID-19,unswitched memory B cell,CL:0000970,female,unknown,fifth decade human stage,16,0.015249278041992699
22,Single-cell multi-omics analysis of the immune response in COVID-19,class switched memory B cell,CL:0000972,female,unknown,fifth decade human stage,49,0.04670091400360264
23,Single-cell multi-omics analysis of the immune response in COVID-19,plasmablast,CL:0000980,female,unknown,fifth decade human stage,3,0.002859239632873631
24,Single-cell multi-omics analysis of the immune response in COVID-19,IgG plasma cell,CL:0000985,female,unknown,fifth decade human stage,7,0.006671559143371805
25,Single-cell multi-omics analysis of the immune response in COVID-19,IgM plasma cell,CL:0000986,female,unknown,fifth decade human stage,1,0.0009530798776245437
26,Single-cell multi-omics analysis of the immune response in COVID-19,IgA plasma cell,CL:0000987,female,unknown,fifth decade human stage,11,0.010483878653869981
27,Single-cell multi-omics analysis of the immune response in COVID-19,"CD34-positive, CD38-negative hematopoietic stem cell",CL:0001024,female,unknown,fifth decade human stage,5,0.004765399388122719
28,Single-cell multi-omics analysis of the immune response in COVID-19,T-helper 22 cell,CL:0001042,female,unknown,fifth decade human stage,185,0.17631977736054058
29,Single-cell multi-omics analysis of the immune response in COVID-19,"effector CD8-positive, alpha-beta T cell",CL:0001050,female,unknown,fifth decade human stage,10,0.009530798776245438
30,Single-cell multi-omics analysis of the immune response in COVID-19,CD14-positive monocyte,CL:0001054,female,unknown,fifth decade human stage,200,0.19061597552490875
31,Single-cell multi-omics analysis of the immune response in COVID-19,"dendritic cell, human",CL:0001056,female,unknown,fifth decade human stage,35,0.03335779571685903
32,Single-cell multi-omics analysis of the immune response in COVID-19,"erythroid progenitor cell, mammalian",CL:0001066,female,unknown,fifth decade human stage,2,0.0019061597552490874
