"cell_type","count","percentage"
"B cell cycling","3","0.15083"
"B cell IgA Plasma","633","31.825038"
"B cell IgG Plasma","19","0.955254"
"B cell memory","403","20.261438"
"CD8 T","282","14.177979"
"cDC1","2","0.100553"
"cDC2","5","0.251383"
"cycling DCs","8","0.402212"
"cycling gd T","6","0.301659"
"Follicular B cell","22","1.106083"
"gd T","55","2.765209"
"ILC","37","1.860231"
"Lymphoid DC","6","0.301659"
"LYVE1 Macrophage","61","3.066868"
"Macrophage","68","3.418803"
"Mast","2","0.100553"
"Monocyte","25","1.256913"
"NK","18","0.904977"
"Tcm","221","11.111111"
"Tfh","14","0.703871"
"Th1","1","0.050277"
"Th17","1","0.050277"
"Treg","97","4.876823"
