,dataset_name,cell_type,sex,race,count,percentage
0,Tabula Sapiens - All Cells,stem cell,female,European,16,0.08555234734253021
1,Tabula Sapiens - All Cells,fibroblast,female,European,13,0.0695112822158058
2,Tabula Sapiens - All Cells,T cell,female,European,118,0.6309485616511603
3,Tabula Sapiens - All Cells,mast cell,female,European,1,0.005347021708908138
4,Tabula Sapiens - All Cells,surface ectodermal cell,female,European,6,0.03208213025344883
5,Tabula Sapiens - All Cells,endothelial cell,female,European,3,0.016041065126724416
6,Tabula Sapiens - All Cells,microglial cell,female,European,121,0.6469896267778847
7,Tabula Sapiens - All Cells,melanocyte,female,European,60,0.3208213025344883
8,Tabula Sapiens - All Cells,macrophage,female,European,21,0.11228745588707091
9,Tabula Sapiens - All Cells,B cell,female,European,52,0.2780451288632232
10,Tabula Sapiens - All Cells,eye photoreceptor cell,female,European,564,3.0157202438241897
11,Tabula Sapiens - All Cells,dendritic cell,female,European,38,0.20318682493850926
12,Tabula Sapiens - All Cells,stromal cell,female,European,30,0.16041065126724416
13,Tabula Sapiens - All Cells,corneal epithelial cell,female,European,43,0.22992193348304996
14,Tabula Sapiens - All Cells,monocyte,female,European,27,0.14436958614051973
15,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",female,European,10,0.05347021708908138
16,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",female,European,3,0.016041065126724416
17,Tabula Sapiens - All Cells,radial glial cell,female,European,14,0.07485830392471393
18,Tabula Sapiens - All Cells,retina horizontal cell,female,European,3,0.016041065126724416
19,Tabula Sapiens - All Cells,retinal bipolar neuron,female,European,17,0.09089936905143835
20,Tabula Sapiens - All Cells,erythroid lineage cell,female,European,9,0.04812319538017325
21,Tabula Sapiens - All Cells,plasma cell,female,European,3,0.016041065126724416
22,Tabula Sapiens - All Cells,pigmented ciliary epithelial cell,female,European,2,0.010694043417816277
23,Tabula Sapiens - All Cells,keratocyte,female,European,146,0.7806651695005882
24,Tabula Sapiens - All Cells,retinal blood vessel endothelial cell,female,European,22,0.11763447759597903
25,Tabula Sapiens - All Cells,retinal pigment epithelial cell,female,European,49,0.26200406373649876
26,Tabula Sapiens - All Cells,Muller cell,female,European,61,0.3261683242433964
27,Tabula Sapiens - All Cells,conjunctival epithelial cell,female,European,1088,5.817559619292054
28,Tabula Sapiens - All Cells,epithelial cell of lacrimal sac,female,European,52,0.2780451288632232
29,Tabula Sapiens - All Cells,stem cell,female,European,4,0.021388086835632553
30,Tabula Sapiens - All Cells,fibroblast,female,European,3,0.016041065126724416
31,Tabula Sapiens - All Cells,T cell,female,European,72,0.384985563041386
32,Tabula Sapiens - All Cells,mast cell,female,European,1,0.005347021708908138
33,Tabula Sapiens - All Cells,endothelial cell,female,European,4,0.021388086835632553
34,Tabula Sapiens - All Cells,microglial cell,female,European,25,0.13367554272270346
35,Tabula Sapiens - All Cells,macrophage,female,European,6,0.03208213025344883
36,Tabula Sapiens - All Cells,B cell,female,European,12,0.06416426050689766
37,Tabula Sapiens - All Cells,eye photoreceptor cell,female,European,2,0.010694043417816277
38,Tabula Sapiens - All Cells,dendritic cell,female,European,20,0.10694043417816276
39,Tabula Sapiens - All Cells,stromal cell,female,European,109,0.582825366270987
40,Tabula Sapiens - All Cells,monocyte,female,European,2,0.010694043417816277
