,cell_type,sex,race,count,percentage
0,ciliated epithelial cell,female,European,352,6.290207290922087
1,ciliated epithelial cell,female,European,66,1.1794138670478913
2,ciliated epithelial cell,female,European,37,0.6611865618298786
3,ciliated epithelial cell,female,European,66,1.1794138670478913
4,ciliated epithelial cell,female,European,352,6.290207290922087
5,ciliated epithelial cell,female,European,37,0.6611865618298786
6,ciliated epithelial cell,female,European,288,5.146533238027162
7,ciliated epithelial cell,female,European,288,5.146533238027162
8,ciliated epithelial cell,female,European,1452,25.94710507505361
9,ciliated epithelial cell,female,European,343,6.129378127233738
10,ciliated epithelial cell,female,European,43,0.7684060042887777
11,ciliated epithelial cell,female,European,343,6.129378127233738
12,ciliated epithelial cell,female,European,1452,25.94710507505361
13,ciliated epithelial cell,female,European,43,0.7684060042887777
14,ciliated epithelial cell,female,European,85,1.5189421015010722
15,ciliated epithelial cell,female,European,100,1.7869907076483202
16,ciliated epithelial cell,female,European,32,0.5718370264474625
17,ciliated epithelial cell,female,European,100,1.7869907076483202
18,ciliated epithelial cell,female,European,85,1.5189421015010722
19,ciliated epithelial cell,female,European,32,0.5718370264474625
