,cell_type,sex,race,count,percentage
0,secretory cell,female,European,3877,13.570178508925446
1,secretory cell,female,European,200,0.7000350017500875
2,secretory cell,female,European,666,2.3311165558277915
3,secretory cell,female,European,200,0.7000350017500875
4,secretory cell,female,European,3877,13.570178508925446
5,secretory cell,female,European,666,2.3311165558277915
6,secretory cell,female,European,283,0.9905495274763738
7,secretory cell,female,European,283,0.9905495274763738
8,secretory cell,female,European,3816,13.35666783339167
9,secretory cell,female,European,1330,4.655232761638082
10,secretory cell,female,European,422,1.4770738536926846
11,secretory cell,female,European,1330,4.655232761638082
12,secretory cell,female,European,3816,13.35666783339167
13,secretory cell,female,European,422,1.4770738536926846
14,secretory cell,female,European,2280,7.980399019950997
15,secretory cell,female,European,386,1.351067553377669
16,secretory cell,female,European,1025,3.5876793839691987
17,secretory cell,female,European,386,1.351067553377669
18,secretory cell,female,European,2280,7.980399019950997
19,secretory cell,female,European,1025,3.5876793839691987
