,index,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
0,84117,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000003,native cell,218,4.315122723673793
1,84118,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000057,fibroblast,704,13.935075217735552
2,84119,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000077,mesothelial cell,20,0.395882818685669
3,84120,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000097,mast cell,3,0.05938242280285036
4,84121,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000115,endothelial cell,200,3.95882818685669
5,84122,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000192,smooth muscle cell,281,5.56215360253365
6,84123,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000235,macrophage,87,1.72209026128266
7,84124,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000236,B cell,1,0.01979414093428345
8,84125,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000576,monocyte,3,0.05938242280285036
9,84126,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000623,natural killer cell,9,0.17814726840855108
10,84127,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000669,pericyte,1185,23.456057007125892
11,84128,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",11,0.217735550277118
12,84129,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000814,mature NK T cell,2,0.0395882818685669
13,84130,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",2,0.0395882818685669
14,84131,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D5,eighth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",1,0.01979414093428345
