,index,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
0,84623,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000003,native cell,70,6.300630063006301
1,84624,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000057,fibroblast,276,24.842484248424842
2,84625,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000097,mast cell,4,0.36003600360036003
3,84626,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000115,endothelial cell,48,4.32043204320432
4,84627,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000192,smooth muscle cell,44,3.9603960396039604
5,84628,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000235,macrophage,103,9.27092709270927
6,84629,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000236,B cell,14,1.2601260126012601
7,84630,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000576,monocyte,7,0.6300630063006301
8,84631,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000623,natural killer cell,6,0.54005400540054
9,84632,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000669,pericyte,134,12.061206120612061
10,84633,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",48,4.32043204320432
11,84634,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000814,mature NK T cell,6,0.54005400540054
12,84635,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",5,0.45004500450045004
13,84636,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",87,7.830783078307831
14,84637,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",35,3.1503150315031503
15,84638,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0001054,CD14-positive monocyte,7,0.6300630063006301
16,84639,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0002129,regular atrial cardiac myocyte,94,8.46084608460846
17,84640,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,1,0.09000900090009001
18,84641,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0002144,capillary endothelial cell,35,3.1503150315031503
19,84642,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0002319,neural cell,21,1.8901890189018902
20,84643,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",2,0.18001800180018002
21,84644,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:0002543,vein endothelial cell,19,1.7101710171017102
22,84645,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:1000309,epicardial adipocyte,24,2.16021602160216
23,84646,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,right cardiac atrium,UBERON:0002078,male,H2,sixth decade human stage,European,CL:1000413,endothelial cell of artery,21,1.8901890189018902
