,index,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
0,83265,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000003,native cell,568,7.819383259911894
1,83266,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000057,fibroblast,305,4.198788546255507
2,83267,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000097,mast cell,61,0.8397577092511013
3,83268,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000115,endothelial cell,38,0.5231277533039648
4,83269,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000192,smooth muscle cell,260,3.579295154185022
5,83270,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000235,macrophage,182,2.5055066079295156
6,83271,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000236,B cell,1,0.013766519823788547
7,83272,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000451,dendritic cell,16,0.22026431718061676
8,83273,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000576,monocyte,1,0.013766519823788547
9,83274,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000623,natural killer cell,22,0.30286343612334804
10,83275,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000669,pericyte,1682,23.155286343612335
11,83276,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",12,0.16519823788546256
12,83277,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000814,mature NK T cell,7,0.09636563876651982
13,83278,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",1,0.013766519823788547
14,83279,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",26,0.3579295154185022
15,83280,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",8,0.11013215859030838
16,83281,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0001054,CD14-positive monocyte,1,0.013766519823788547
17,83282,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,3597,49.5181718061674
18,83283,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0002144,capillary endothelial cell,359,4.942180616740089
19,83284,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0002319,neural cell,32,0.4405286343612335
20,83285,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",3,0.04129955947136564
21,83286,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:0002543,vein endothelial cell,16,0.22026431718061676
22,83287,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:1000309,epicardial adipocyte,5,0.06883259911894274
23,83288,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,female,H7,fifth decade human stage,European,CL:1000413,endothelial cell of artery,61,0.8397577092511013
