,dataset_name,cell_type,sex,race,count,percentage
0,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,fibroblast,unknown,unknown,332,30.74074074074074
1,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,mesothelial cell,unknown,unknown,22,2.037037037037037
2,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,interneuron,unknown,unknown,3,0.2777777777777778
3,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,glial cell,unknown,unknown,23,2.1296296296296298
4,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,gut endothelial cell,unknown,unknown,157,14.537037037037038
5,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,enteroendocrine cell,unknown,unknown,29,2.685185185185185
6,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,myofibroblast cell,unknown,unknown,62,5.7407407407407405
7,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,macrophage,unknown,unknown,12,1.1111111111111112
8,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,monocyte,unknown,unknown,2,0.1851851851851852
9,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,enterocyte,unknown,unknown,121,11.203703703703702
10,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,pericyte cell,unknown,unknown,28,2.5925925925925926
11,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,gut absorptive cell,unknown,unknown,60,5.555555555555555
12,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,leukocyte,unknown,unknown,1,0.0925925925925926
13,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,precursor B cell,unknown,unknown,7,0.6481481481481481
14,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,naive T cell,unknown,unknown,51,4.722222222222222
15,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,group 3 innate lymphoid cell,unknown,unknown,1,0.0925925925925926
16,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,interstitial cell of Cajal,unknown,unknown,15,1.3888888888888888
17,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,neural cell,unknown,unknown,1,0.0925925925925926
18,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,enteric smooth muscle cell,unknown,unknown,87,8.055555555555555
19,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,inhibitory motor neuron,unknown,unknown,19,1.7592592592592593
20,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,intestinal crypt stem cell of large intestine,unknown,unknown,6,0.5555555555555556
21,Spatiotemporal analysis of human intestinal development at single-cell resolution: Fetal A3,intestine goblet cell,unknown,unknown,41,3.7962962962962963
