,cell_type,sex,race,count,percentage
0,fibroblast,unknown,unknown,70,20.23121387283237
1,interneuron,unknown,unknown,3,0.8670520231213872
2,gut endothelial cell,unknown,unknown,10,2.8901734104046244
3,secretory cell,unknown,unknown,1,0.2890173410404624
4,neuroendocrine cell,unknown,unknown,1,0.2890173410404624
5,myofibroblast cell,unknown,unknown,22,6.358381502890173
6,macrophage,unknown,unknown,2,0.5780346820809248
7,dendritic cell,unknown,unknown,6,1.7341040462427744
8,enterocyte,unknown,unknown,100,28.901734104046245
9,pericyte cell,unknown,unknown,10,2.8901734104046244
10,leukocyte,unknown,unknown,3,0.8670520231213872
11,interstitial cell of Cajal,unknown,unknown,4,1.1560693641618496
12,enteric smooth muscle cell,unknown,unknown,33,9.53757225433526
13,inhibitory motor neuron,unknown,unknown,2,0.5780346820809248
14,transit amplifying cell of colon,unknown,unknown,3,0.8670520231213872
15,transit amplifying cell of small intestine,unknown,unknown,1,0.2890173410404624
16,intestinal crypt stem cell of large intestine,unknown,unknown,11,3.1791907514450863
17,intestinal crypt stem cell of small intestine,unknown,unknown,26,7.514450867052023
18,progenitor cell,unknown,unknown,37,10.69364161849711
19,intestine goblet cell,unknown,unknown,1,0.2890173410404624
