,cell_type,sex,race,count,percentage
0,fibroblast,unknown,unknown,187,29.037267080745345
1,mesothelial cell,unknown,unknown,1,0.15527950310559005
2,interneuron,unknown,unknown,4,0.6211180124223602
3,glial cell,unknown,unknown,3,0.4658385093167702
4,gut endothelial cell,unknown,unknown,46,7.142857142857142
5,enteroendocrine cell,unknown,unknown,2,0.3105590062111801
6,myofibroblast cell,unknown,unknown,15,2.329192546583851
7,enterocyte,unknown,unknown,132,20.496894409937887
8,pericyte cell,unknown,unknown,14,2.1739130434782608
9,gut absorptive cell,unknown,unknown,7,1.0869565217391304
10,interstitial cell of Cajal,unknown,unknown,16,2.484472049689441
11,enteric smooth muscle cell,unknown,unknown,70,10.869565217391305
12,inhibitory motor neuron,unknown,unknown,29,4.503105590062112
13,transit amplifying cell of colon,unknown,unknown,10,1.5527950310559007
14,transit amplifying cell of small intestine,unknown,unknown,1,0.15527950310559005
15,intestinal crypt stem cell of large intestine,unknown,unknown,97,15.062111801242237
16,intestinal crypt stem cell of small intestine,unknown,unknown,5,0.7763975155279503
17,progenitor cell,unknown,unknown,3,0.4658385093167702
18,intestine goblet cell,unknown,unknown,2,0.3105590062111801
