"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","W","10","0.886525","upper pole","right","74.416"
"Ascending Thin Limb","kidney_l3","CL:1001107","Female","W","6","0.531915","upper pole","right",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Female","W","72","6.38298","upper pole","right",""
"B","kidney_l3","CL:0000785","Female","W","2","0.177305","upper pole","right",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","W","6","0.531915","upper pole","right",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Female","W","1","0.0886525","upper pole","right",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","W","2","0.177305","upper pole","right",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Female","W","3","0.265957","upper pole","right",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","W","4","0.35461","upper pole","right",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","W","75","6.64894","upper pole","right",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","4","0.35461","upper pole","right",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Female","W","2","0.177305","upper pole","right",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","W","105","9.30851","upper pole","right",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","W","42","3.7234","upper pole","right",""
"Descending Thin Limb Type 3","kidney_l3","CL:1001111","Female","W","16","1.41844","upper pole","right",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","W","67","5.93972","upper pole","right",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Female","W","2","0.177305","upper pole","right",""
"Fibroblast","kidney_l3","CL:0000057","Female","W","20","1.77305","upper pole","right",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Female","W","2","0.177305","upper pole","right",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Female","W","4","0.35461","upper pole","right",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","W","3","0.265957","upper pole","right",""
"Macula Densa","kidney_l3","CL:1000850","Female","W","1","0.0886525","upper pole","right",""
"Mast","kidney_l3","CL:0000097","Female","W","4","0.35461","upper pole","right",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Female","W","106","9.39716","upper pole","right",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Female","W","284","25.1773","upper pole","right",""
"Monocyte","kidney_l3","","Female","W","1","0.0886525","upper pole","right",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","W","6","0.531915","upper pole","right",""
"Neutrophil","kidney_l3","CL:0000775","Female","W","1","0.0886525","upper pole","right",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Female","W","17","1.50709","upper pole","right",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Female","W","135","11.9681","upper pole","right",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","W","21","1.8617","upper pole","right",""
"Plasma","kidney_l3","CL:0000786","Female","W","3","0.265957","upper pole","right",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Female","W","7","0.620567","upper pole","right",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Female","W","36","3.19149","upper pole","right",""
"Schwann / Neural","kidney_l3","CL:0002573","Female","W","1","0.0886525","upper pole","right",""
"T","kidney_l3","CL:000084","Female","W","6","0.531915","upper pole","right",""
"Tissue-resident Macrophage","kidney_l3","","Female","W","22","1.95035","upper pole","right",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","29","2.57092","upper pole","right",""
