,cell_type,sex,race,count,percentage
0,endothelial cell,female,European,12930,35.17984437068074
1,macrophage,female,European,185,0.503346574522501
2,leukocyte,female,European,1097,2.984709147303695
3,blood vessel smooth muscle cell,female,European,483,1.3141426783479349
4,kidney interstitial fibroblast,female,European,810,2.2038417587201393
5,kidney distal convoluted tubule epithelial cell,female,European,262,0.71284758121565
6,kidney loop of Henle thick ascending limb epithelial cell,female,European,993,2.701746748653208
7,kidney collecting duct principal cell,female,European,1231,3.3492953147956688
8,kidney collecting duct intercalated cell,female,European,386,1.0502258257604615
9,endothelial cell,female,European,12930,35.17984437068074
10,macrophage,female,European,185,0.503346574522501
11,leukocyte,female,European,1097,2.984709147303695
12,blood vessel smooth muscle cell,female,European,483,1.3141426783479349
13,kidney interstitial fibroblast,female,European,810,2.2038417587201393
14,kidney distal convoluted tubule epithelial cell,female,European,262,0.71284758121565
15,kidney loop of Henle thick ascending limb epithelial cell,female,European,993,2.701746748653208
16,kidney collecting duct principal cell,female,European,1231,3.3492953147956688
17,kidney collecting duct intercalated cell,female,European,386,1.0502258257604615
