,cell_type,sex,race,count,percentage
0,endothelial cell,male,African American,14010,27.21339497300027
1,macrophage,male,African American,164,0.31855794258187325
2,kidney granular cell,male,African American,239,0.46423992851870555
3,mesangial cell,male,African American,13,0.025251544229050932
4,glomerular visceral epithelial cell,male,African American,277,0.5380521347267007
5,leukocyte,male,African American,1375,2.670836408841925
6,blood vessel smooth muscle cell,male,African American,513,0.9964647838079328
7,kidney interstitial fibroblast,male,African American,556,1.0799891224117166
8,kidney proximal convoluted tubule epithelial cell,male,African American,5233,10.164717765432577
9,kidney distal convoluted tubule epithelial cell,male,African American,639,1.241210520181811
10,macula densa epithelial cell,male,African American,44,0.08546676508294161
11,kidney loop of Henle thick ascending limb epithelial cell,male,African American,885,1.719047434054621
12,kidney collecting duct principal cell,male,African American,1206,2.342566333864263
13,kidney collecting duct intercalated cell,male,African American,587,1.1402043432656075
14,endothelial cell,male,African American,14010,27.21339497300027
15,macrophage,male,African American,164,0.31855794258187325
16,kidney granular cell,male,African American,239,0.46423992851870555
17,mesangial cell,male,African American,13,0.025251544229050932
18,glomerular visceral epithelial cell,male,African American,277,0.5380521347267007
19,leukocyte,male,African American,1375,2.670836408841925
20,blood vessel smooth muscle cell,male,African American,513,0.9964647838079328
21,kidney interstitial fibroblast,male,African American,556,1.0799891224117166
22,kidney proximal convoluted tubule epithelial cell,male,African American,5233,10.164717765432577
23,kidney distal convoluted tubule epithelial cell,male,African American,639,1.241210520181811
24,macula densa epithelial cell,male,African American,44,0.08546676508294161
25,kidney loop of Henle thick ascending limb epithelial cell,male,African American,885,1.719047434054621
26,kidney collecting duct principal cell,male,African American,1206,2.342566333864263
27,kidney collecting duct intercalated cell,male,African American,587,1.1402043432656075
