,cell_type,sex,race,count,percentage
0,endothelial cell,male,African American,8669,24.382629240029253
1,macrophage,male,African American,213,0.5990887101310682
2,leukocyte,male,African American,1072,3.015131912021151
3,blood vessel smooth muscle cell,male,African American,332,0.933790853349834
4,kidney interstitial fibroblast,male,African American,954,2.6832423918546437
5,kidney distal convoluted tubule epithelial cell,male,African American,329,0.9253529841930584
6,kidney loop of Henle thick ascending limb epithelial cell,male,African American,2377,6.685604995218542
7,kidney collecting duct principal cell,male,African American,2231,6.274962029588795
8,kidney collecting duct intercalated cell,male,African American,1600,4.500196883613658
9,endothelial cell,male,African American,8669,24.382629240029253
10,macrophage,male,African American,213,0.5990887101310682
11,leukocyte,male,African American,1072,3.015131912021151
12,blood vessel smooth muscle cell,male,African American,332,0.933790853349834
13,kidney interstitial fibroblast,male,African American,954,2.6832423918546437
14,kidney distal convoluted tubule epithelial cell,male,African American,329,0.9253529841930584
15,kidney loop of Henle thick ascending limb epithelial cell,male,African American,2377,6.685604995218542
16,kidney collecting duct principal cell,male,African American,2231,6.274962029588795
17,kidney collecting duct intercalated cell,male,African American,1600,4.500196883613658
