,cell_type,sex,race,count,percentage
0,native cell,male,European,10492,11.765497443258276
1,endothelial cell,male,European,9282,10.408630124697229
2,mesangial cell,male,European,356,0.3992105499237463
3,glomerular visceral epithelial cell,male,European,317,0.35547680990401004
4,pericyte cell,male,European,9,0.010092401543016058
5,leukocyte,male,European,589,0.6604916120929398
6,blood vessel smooth muscle cell,male,European,503,0.5640531084596753
7,kidney interstitial fibroblast,male,European,2911,3.2643312101910826
8,kidney connecting tubule epithelial cell,male,European,2,0.002242755898448013
9,kidney proximal convoluted tubule epithelial cell,male,European,3090,3.46505786310218
10,kidney distal convoluted tubule epithelial cell,male,European,89,0.09980263748093658
11,kidney loop of Henle thick ascending limb epithelial cell,male,European,4488,5.032744236117341
12,kidney loop of Henle thin descending limb epithelial cell,male,European,7732,8.670494303400018
13,kidney collecting duct principal cell,male,European,4112,4.611106127209115
14,kidney collecting duct intercalated cell,male,European,616,0.690768816721988
15,native cell,male,European,10492,11.765497443258276
16,endothelial cell,male,European,9282,10.408630124697229
17,mesangial cell,male,European,356,0.3992105499237463
18,glomerular visceral epithelial cell,male,European,317,0.35547680990401004
19,pericyte cell,male,European,9,0.010092401543016058
20,leukocyte,male,European,589,0.6604916120929398
21,blood vessel smooth muscle cell,male,European,503,0.5640531084596753
22,kidney interstitial fibroblast,male,European,2911,3.2643312101910826
23,kidney connecting tubule epithelial cell,male,European,2,0.002242755898448013
24,kidney proximal convoluted tubule epithelial cell,male,European,3090,3.46505786310218
25,kidney distal convoluted tubule epithelial cell,male,European,89,0.09980263748093658
26,kidney loop of Henle thick ascending limb epithelial cell,male,European,4488,5.032744236117341
27,kidney loop of Henle thin descending limb epithelial cell,male,European,7732,8.670494303400018
28,kidney collecting duct principal cell,male,European,4112,4.611106127209115
29,kidney collecting duct intercalated cell,male,European,616,0.690768816721988
