,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,endothelial cell,CL:0000115,male,European,65-year-old human stage,12090,31.767302538231124
1,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,macrophage,CL:0000235,male,European,65-year-old human stage,220,0.5780650585947764
2,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney granular cell,CL:0000648,male,European,65-year-old human stage,150,0.39413526722371117
3,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,mesangial cell,CL:0000650,male,European,65-year-old human stage,39,0.1024751694781649
4,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,glomerular visceral epithelial cell,CL:0000653,male,European,65-year-old human stage,477,1.2533501497714015
5,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,leukocyte,CL:0000738,male,European,65-year-old human stage,1156,3.037469126070734
6,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,blood vessel smooth muscle cell,CL:0019018,male,European,65-year-old human stage,397,1.0431446739187555
7,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney interstitial fibroblast,CL:1000692,male,European,65-year-old human stage,447,1.1745230963266593
8,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney proximal convoluted tubule epithelial cell,CL:1000838,male,European,65-year-old human stage,2808,7.378212202427874
9,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney distal convoluted tubule epithelial cell,CL:1000849,male,European,65-year-old human stage,334,0.8776078616847969
10,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,macula densa epithelial cell,CL:1000850,male,European,65-year-old human stage,14,0.03678595827421304
11,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,male,European,65-year-old human stage,289,0.7593672815176835
12,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney collecting duct principal cell,CL:1001431,male,European,65-year-old human stage,423,1.1114614535708656
13,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney collecting duct intercalated cell,CL:1001432,male,European,65-year-old human stage,185,0.4861001629092438
14,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,endothelial cell,CL:0000115,male,European,65-year-old human stage,12090,31.767302538231124
15,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,macrophage,CL:0000235,male,European,65-year-old human stage,220,0.5780650585947764
16,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney granular cell,CL:0000648,male,European,65-year-old human stage,150,0.39413526722371117
17,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,mesangial cell,CL:0000650,male,European,65-year-old human stage,39,0.1024751694781649
18,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,glomerular visceral epithelial cell,CL:0000653,male,European,65-year-old human stage,477,1.2533501497714015
19,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,leukocyte,CL:0000738,male,European,65-year-old human stage,1156,3.037469126070734
20,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,blood vessel smooth muscle cell,CL:0019018,male,European,65-year-old human stage,397,1.0431446739187555
21,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney interstitial fibroblast,CL:1000692,male,European,65-year-old human stage,447,1.1745230963266593
22,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney proximal convoluted tubule epithelial cell,CL:1000838,male,European,65-year-old human stage,2808,7.378212202427874
23,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney distal convoluted tubule epithelial cell,CL:1000849,male,European,65-year-old human stage,334,0.8776078616847969
24,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,macula densa epithelial cell,CL:1000850,male,European,65-year-old human stage,14,0.03678595827421304
25,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,male,European,65-year-old human stage,289,0.7593672815176835
26,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney collecting duct principal cell,CL:1001431,male,European,65-year-old human stage,423,1.1114614535708656
27,Spatial transcriptomics in the healthy human kidney: Puck_200113_11,kidney collecting duct intercalated cell,CL:1001432,male,European,65-year-old human stage,185,0.4861001629092438
