,cell_type,sex,race,count,percentage
0,endothelial cell,male,European,9666,23.159861989649226
1,macrophage,male,European,202,0.4839946329308032
2,leukocyte,male,European,1244,2.9806402146827677
3,blood vessel smooth muscle cell,male,European,598,1.4328157945179223
4,kidney interstitial fibroblast,male,European,938,2.2474602261836307
5,kidney proximal convoluted tubule epithelial cell,male,European,738,1.7682576193214492
6,kidney distal convoluted tubule epithelial cell,male,European,529,1.2674908951504698
7,kidney loop of Henle thick ascending limb epithelial cell,male,European,3510,8.410005750431282
8,kidney collecting duct principal cell,male,European,2523,6.0451408855664175
9,kidney collecting duct intercalated cell,male,European,920,2.204331991566034
10,endothelial cell,male,European,9666,23.159861989649226
11,macrophage,male,European,202,0.4839946329308032
12,leukocyte,male,European,1244,2.9806402146827677
13,blood vessel smooth muscle cell,male,European,598,1.4328157945179223
14,kidney interstitial fibroblast,male,European,938,2.2474602261836307
15,kidney proximal convoluted tubule epithelial cell,male,European,738,1.7682576193214492
16,kidney distal convoluted tubule epithelial cell,male,European,529,1.2674908951504698
17,kidney loop of Henle thick ascending limb epithelial cell,male,European,3510,8.410005750431282
18,kidney collecting duct principal cell,male,European,2523,6.0451408855664175
19,kidney collecting duct intercalated cell,male,European,920,2.204331991566034
