,cell_type,sex,race,count,percentage
0,endothelial cell,male,European,7855,25.845617267702025
1,macrophage,male,European,172,0.5659384048433799
2,leukocyte,male,European,652,2.1453013951039748
3,blood vessel smooth muscle cell,male,European,608,2.0005264543300867
4,kidney interstitial fibroblast,male,European,801,2.6355619899973677
5,kidney distal convoluted tubule epithelial cell,male,European,23,0.07567780994998684
6,kidney loop of Henle thick ascending limb epithelial cell,male,European,1654,5.442221637272967
7,kidney collecting duct principal cell,male,European,2862,9.416951829428797
8,kidney collecting duct intercalated cell,male,European,569,1.8722032113714135
9,endothelial cell,male,European,7855,25.845617267702025
10,macrophage,male,European,172,0.5659384048433799
11,leukocyte,male,European,652,2.1453013951039748
12,blood vessel smooth muscle cell,male,European,608,2.0005264543300867
13,kidney interstitial fibroblast,male,European,801,2.6355619899973677
14,kidney distal convoluted tubule epithelial cell,male,European,23,0.07567780994998684
15,kidney loop of Henle thick ascending limb epithelial cell,male,European,1654,5.442221637272967
16,kidney collecting duct principal cell,male,European,2862,9.416951829428797
17,kidney collecting duct intercalated cell,male,European,569,1.8722032113714135
