"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",8
"2","Ascending Thin Limb",3
"3","Connecting Tubule",554
"4","Cortical Collecting Duct Intercalated Type A",2
"5","Cortical Collecting Duct Principal",39
"6","Cortical Thick Ascending Limb",356
"7","Cortical Vascular Smooth Muscle / Pericyte",4
"8","Descending Thin Limb Type 1",864
"9","Descending Thin Limb Type 2",155
"10","Descending Thin Limb Type 3",25
"11","Descending Vasa Recta Endothelial ",1
"12","Distal Convoluted Tubule Type 1",83
"13","Fibroblast",36
"14","Glomerular Capillary Endothelial",8
"15","Inner Medullary Collecting Duct",921
"16","Macula Densa",17
"17","Medullary Fibroblast",7
"18","Medullary Thick Ascending Limb",665
"19","Mesangial",1
"20","Outer Medullary Collecting Duct Intercalated Type A",4
"21","Outer Medullary Collecting Duct Principal",2
"22","Parietal Epithelial",1
"23","Peritubular Capilary Endothelial ",11
"24","Podocyte",6
"25","Proximal Tubule Epithelial Segment 1",93
"26","Proximal Tubule Epithelial Segment 2",2
"27","Proximal Tubule Epithelial Segment 3",129
"28","Vascular Smooth Muscle / Pericyte",2
