"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",2
"3","Ascending Vasa Recta Endothelial",1
"4","B",17
"5","Connecting Tubule",434
"6","Cortical Collecting Duct Principal",144
"7","Cortical Vascular Smooth Muscle / Pericyte",40
"8","Descending Thin Limb Type 1",180
"9","Descending Thin Limb Type 2",9
"10","Descending Thin Limb Type 3",5
"11","Descending Vasa Recta Endothelial ",3
"12","Distal Convoluted Tubule Type 1",2
"13","Fibroblast",74
"14","Inner Medullary Collecting Duct",1596
"15","Lymphatic Endothelial",4
"16","M2 Macrophage",64
"17","Macula Densa",1
"18","Mast",1
"19","Medullary Fibroblast",11
"20","Medullary Thick Ascending Limb",39
"21","Monocyte-derived",24
"22","Natural Killer T",6
"23","Non-classical monocyte",13
"24","Papillary Tip Epithelial",118
"25","Parietal Epithelial",2
"26","Plasma",2
"27","T",22
"28","Vascular Smooth Muscle / Pericyte",5
