,cell_type,sex,race,count,percentage
0,mast cell,female,unknown,12,0.048949622679991846
1,macrophage,female,unknown,3,0.012237405669997961
2,CD4-positive helper T cell,female,unknown,3,0.012237405669997961
3,alveolar macrophage,female,unknown,1,0.004079135223332654
4,plasma cell,female,unknown,164,0.6689781766265551
5,memory B cell,female,unknown,2,0.008158270446665308
6,naive B cell,female,unknown,2,0.008158270446665308
7,alpha-beta T cell,female,unknown,2,0.008158270446665308
8,gamma-delta T cell,female,unknown,20,0.08158270446665307
9,regulatory T cell,female,unknown,2,0.008158270446665308
10,germinal center B cell,female,unknown,8,0.03263308178666123
11,classical monocyte,female,unknown,1,0.004079135223332654
12,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,1,0.004079135223332654
13,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,1,0.004079135223332654
14,"effector memory CD4-positive, alpha-beta T cell",female,unknown,3,0.012237405669997961
15,"CD8-positive, alpha-beta memory T cell",female,unknown,27,0.11013665102998164
16,"CD16-negative, CD56-bright natural killer cell, human",female,unknown,1,0.004079135223332654
17,"CD16-positive, CD56-dim natural killer cell, human",female,unknown,1,0.004079135223332654
18,mucosal invariant T cell,female,unknown,3,0.012237405669997961
19,plasmablast,female,unknown,2,0.008158270446665308
20,conventional dendritic cell,female,unknown,2,0.008158270446665308
21,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,unknown,1,0.004079135223332654
22,group 3 innate lymphoid cell,female,unknown,1,0.004079135223332654
23,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",female,unknown,3,0.012237405669997961
24,T follicular helper cell,female,unknown,2,0.008158270446665308
25,mast cell,male,unknown,1,0.004079135223332654
26,macrophage,male,unknown,1,0.004079135223332654
27,CD4-positive helper T cell,male,unknown,13,0.053028757903324494
28,lymphocyte,male,unknown,1,0.004079135223332654
29,animal cell,male,unknown,2,0.008158270446665308
30,alveolar macrophage,male,unknown,1,0.004079135223332654
31,plasma cell,male,unknown,9,0.03671221700999388
32,memory B cell,male,unknown,7,0.028553946563328575
33,alpha-beta T cell,male,unknown,6,0.024474811339995923
34,gamma-delta T cell,male,unknown,11,0.04487048745665919
35,regulatory T cell,male,unknown,5,0.020395676116663267
36,germinal center B cell,male,unknown,4,0.016316540893330615
37,"naive thymus-derived CD4-positive, alpha-beta T cell",male,unknown,4,0.016316540893330615
38,"effector memory CD4-positive, alpha-beta T cell",male,unknown,2,0.008158270446665308
39,"CD8-positive, alpha-beta memory T cell",male,unknown,14,0.05710789312665715
40,conventional dendritic cell,male,unknown,3,0.012237405669997961
41,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",male,unknown,5,0.020395676116663267
42,group 3 innate lymphoid cell,male,unknown,1,0.004079135223332654
43,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",male,unknown,2,0.008158270446665308
44,T follicular helper cell,male,unknown,2,0.008158270446665308
45,macrophage,male,unknown,1,0.004079135223332654
46,CD4-positive helper T cell,male,unknown,3,0.012237405669997961
47,plasma cell,male,unknown,2,0.008158270446665308
48,alpha-beta T cell,male,unknown,19,0.07750356924332041
49,gamma-delta T cell,male,unknown,25,0.10197838058331635
50,"CD8-positive, alpha-beta memory T cell",male,unknown,17,0.06934529879665512
51,conventional dendritic cell,male,unknown,3,0.012237405669997961
52,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",male,unknown,1,0.004079135223332654
53,mast cell,female,unknown,3,0.012237405669997961
54,macrophage,female,unknown,79,0.32225168264327964
55,CD4-positive helper T cell,female,unknown,1289,5.25800530287579
56,lymphocyte,female,unknown,31,0.12645319192331225
57,animal cell,female,unknown,33,0.13461146236997756
58,alveolar macrophage,female,unknown,4,0.016316540893330615
59,plasmacytoid dendritic cell,female,unknown,4,0.016316540893330615
60,plasma cell,female,unknown,295,1.2033448908831328
61,memory B cell,female,unknown,17,0.06934529879665512
62,naive B cell,female,unknown,2,0.008158270446665308
63,alpha-beta T cell,female,unknown,418,1.7050785233530492
64,gamma-delta T cell,female,unknown,411,1.6765245767897206
65,regulatory T cell,female,unknown,30,0.12237405669997961
66,classical monocyte,female,unknown,5,0.020395676116663267
67,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,3,0.012237405669997961
68,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,1,0.004079135223332654
