,dataset_name,cell_type,sex,race,count,percentage
0,Global,mast cell,female,unknown,2,0.014961101137043686
1,Global,macrophage,female,unknown,41,0.3067025733093956
2,Global,CD4-positive helper T cell,female,unknown,222,1.660682226211849
3,Global,lymphocyte,female,unknown,11,0.08228605625374028
4,Global,animal cell,female,unknown,37,0.2767803710353082
5,Global,alveolar macrophage,female,unknown,3,0.02244165170556553
6,Global,erythroid lineage cell,female,unknown,3,0.02244165170556553
7,Global,plasmacytoid dendritic cell,female,unknown,2,0.014961101137043686
8,Global,plasma cell,female,unknown,17,0.12716935966487133
9,Global,memory B cell,female,unknown,19,0.14213046080191502
10,Global,naive B cell,female,unknown,11,0.08228605625374028
11,Global,alpha-beta T cell,female,unknown,78,0.5834829443447037
12,Global,gamma-delta T cell,female,unknown,497,3.7178336325553563
13,Global,regulatory T cell,female,unknown,17,0.12716935966487133
14,Global,classical monocyte,female,unknown,262,1.9599042489527227
15,Global,non-classical monocyte,female,unknown,143,1.0697187312986236
16,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,29,0.21693596648713348
17,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,2,0.014961101137043686
18,Global,"effector memory CD4-positive, alpha-beta T cell",female,unknown,120,0.8976660682226212
19,Global,"CD8-positive, alpha-beta memory T cell",female,unknown,23,0.1720526630760024
20,Global,"CD16-negative, CD56-bright natural killer cell, human",female,unknown,261,1.9524236983842012
21,Global,"CD16-positive, CD56-dim natural killer cell, human",female,unknown,856,6.403351286654697
22,Global,mucosal invariant T cell,female,unknown,441,3.298922800718133
23,Global,plasmablast,female,unknown,5,0.037402752842609216
24,Global,conventional dendritic cell,female,unknown,40,0.2992220227408737
25,Global,"dendritic cell, human",female,unknown,2,0.014961101137043686
26,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,unknown,238,1.7803710353081987
27,Global,group 3 innate lymphoid cell,female,unknown,2,0.014961101137043686
28,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",female,unknown,444,3.321364452423698
29,Global,T follicular helper cell,female,unknown,2,0.014961101137043686
30,Global,progenitor cell,female,unknown,3,0.02244165170556553
31,Global,macrophage,female,unknown,196,1.4661879114302814
32,Global,animal cell,female,unknown,18,0.13464991023339318
33,Global,megakaryocyte,female,unknown,1,0.007480550568521843
34,Global,plasma cell,female,unknown,3,0.02244165170556553
35,Global,memory B cell,female,unknown,3,0.02244165170556553
36,Global,naive B cell,female,unknown,8,0.059844404548174746
37,Global,alpha-beta T cell,female,unknown,2,0.014961101137043686
38,Global,gamma-delta T cell,female,unknown,29,0.21693596648713348
39,Global,regulatory T cell,female,unknown,1,0.007480550568521843
40,Global,classical monocyte,female,unknown,75,0.5610412926391383
41,Global,non-classical monocyte,female,unknown,18,0.13464991023339318
42,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",female,unknown,8,0.059844404548174746
43,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",female,unknown,3,0.02244165170556553
44,Global,"effector memory CD4-positive, alpha-beta T cell",female,unknown,5,0.037402752842609216
45,Global,"CD16-negative, CD56-bright natural killer cell, human",female,unknown,38,0.28426092160383004
46,Global,"CD16-positive, CD56-dim natural killer cell, human",female,unknown,26,0.19449431478156792
47,Global,mucosal invariant T cell,female,unknown,171,1.279174147217235
48,Global,conventional dendritic cell,female,unknown,6,0.04488330341113106
49,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",female,unknown,1,0.007480550568521843
50,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",female,unknown,47,0.35158587672052666
51,Global,T follicular helper cell,female,unknown,1,0.007480550568521843
52,Global,mast cell,male,unknown,2,0.014961101137043686
53,Global,macrophage,male,unknown,64,0.47875523638539796
54,Global,CD4-positive helper T cell,male,unknown,96,0.718132854578097
55,Global,lymphocyte,male,unknown,80,0.5984440454817475
56,Global,animal cell,male,unknown,81,0.6059245960502693
57,Global,alveolar macrophage,male,unknown,3,0.02244165170556553
58,Global,erythroid lineage cell,male,unknown,1,0.007480550568521843
59,Global,plasmacytoid dendritic cell,male,unknown,21,0.1570915619389587
60,Global,plasma cell,male,unknown,64,0.47875523638539796
61,Global,memory B cell,male,unknown,132,0.9874326750448833
62,Global,naive B cell,male,unknown,55,0.41143028126870135
63,Global,alpha-beta T cell,male,unknown,180,1.3464991023339317
64,Global,gamma-delta T cell,male,unknown,60,0.4488330341113106
65,Global,regulatory T cell,male,unknown,3,0.02244165170556553
66,Global,germinal center B cell,male,unknown,1,0.007480550568521843
67,Global,classical monocyte,male,unknown,657,4.914721723518851
68,Global,non-classical monocyte,male,unknown,148,1.107121484141233
69,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",male,unknown,7,0.052363853979652895
70,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",male,unknown,3,0.02244165170556553
71,Global,"effector memory CD4-positive, alpha-beta T cell",male,unknown,79,0.5909634949132256
72,Global,"CD8-positive, alpha-beta memory T cell",male,unknown,81,0.6059245960502693
73,Global,"CD16-negative, CD56-bright natural killer cell, human",male,unknown,871,6.5155595451825254
74,Global,"CD16-positive, CD56-dim natural killer cell, human",male,unknown,439,3.2839616995810896
75,Global,mucosal invariant T cell,male,unknown,426,3.1867145421903054
76,Global,plasmablast,male,unknown,28,0.20945541591861158
77,Global,conventional dendritic cell,male,unknown,65,0.4862357869539198
78,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",male,unknown,170,1.2716935966487133
79,Global,group 3 innate lymphoid cell,male,unknown,3,0.02244165170556553
80,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",male,unknown,122,0.9126271693596649
81,Global,T follicular helper cell,male,unknown,4,0.029922202274087373
82,Global,progenitor cell,male,unknown,6,0.04488330341113106
83,Global,mast cell,male,unknown,1,0.007480550568521843
84,Global,macrophage,male,unknown,175,1.3090963494913226
85,Global,CD4-positive helper T cell,male,unknown,269,2.0122681029323757
86,Global,lymphocyte,male,unknown,79,0.5909634949132256
87,Global,animal cell,male,unknown,85,0.6358467983243566
88,Global,alveolar macrophage,male,unknown,5,0.037402752842609216
89,Global,erythroid lineage cell,male,unknown,1,0.007480550568521843
90,Global,plasmacytoid dendritic cell,male,unknown,2,0.014961101137043686
91,Global,plasma cell,male,unknown,87,0.6508078994614004
92,Global,memory B cell,male,unknown,26,0.19449431478156792
93,Global,naive B cell,male,unknown,32,0.23937761819269898
94,Global,alpha-beta T cell,male,unknown,71,0.5311190903650509
95,Global,gamma-delta T cell,male,unknown,457,3.4186116098144823
96,Global,regulatory T cell,male,unknown,28,0.20945541591861158
97,Global,precursor B cell,male,unknown,2,0.014961101137043686
98,Global,classical monocyte,male,unknown,501,3.7477558348294435
99,Global,non-classical monocyte,male,unknown,149,1.1146020347097547
100,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",male,unknown,18,0.13464991023339318
101,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",male,unknown,16,0.11968880909634949
102,Global,"effector memory CD4-positive, alpha-beta T cell",male,unknown,55,0.41143028126870135
103,Global,"CD8-positive, alpha-beta memory T cell",male,unknown,11,0.08228605625374028
104,Global,"CD16-negative, CD56-bright natural killer cell, human",male,unknown,535,4.002094554159187
105,Global,"CD16-positive, CD56-dim natural killer cell, human",male,unknown,561,4.196588868940754
106,Global,mucosal invariant T cell,male,unknown,1201,8.984141232794734
107,Global,plasmablast,male,unknown,4,0.029922202274087373
108,Global,conventional dendritic cell,male,unknown,13,0.09724715739078396
109,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",male,unknown,341,2.5508677438659486
110,Global,group 3 innate lymphoid cell,male,unknown,4,0.029922202274087373
111,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",male,unknown,193,1.4437462597247157
112,Global,T follicular helper cell,male,unknown,1,0.007480550568521843
