"","cell_type","count"
"1","Adventitial fibroblasts",2
"2","Alveolar fibroblasts",124
"3","AT1",1085
"4","AT2",2060
"5","AT2 proliferating",9
"6","B cells",80
"7","Basal resting",2
"8","CD4 T cells",2430
"9","CD8 T cells",1876
"10","Classical monocytes",2
"11","Club (non-nasal)",35
"12","EC arterial",120
"13","EC general capillary",2925
"14","EC venous pulmonary",12
"15","EC venous systemic",302
"16","Ionocyte",3
"17","Lymphatic EC mature",74
"18","Mast cells",120
"19","Multiciliated (non-nasal)",365
"20","Myofibroblasts",1
"21","NK cells",4
"22","Peribronchial fibroblasts",1
"23","Pericytes",142
"24","Plasma cells",8
"25","Smooth muscle",166
"26","Transitional Club-AT2",48
