"","cell_type","count"
"1","Adventitial fibroblasts",19
"2","Alveolar fibroblasts",221
"3","AT1",679
"4","AT2",666
"5","B cells",37
"6","Basal resting",171
"7","CD4 T cells",322
"8","CD8 T cells",1775
"9","Club (non-nasal)",42
"10","DC2",7
"11","EC aerocyte capillary",3
"12","EC arterial",196
"13","EC general capillary",1777
"14","EC venous pulmonary",33
"15","EC venous systemic",389
"16","Ionocyte",4
"17","Lymphatic EC mature",13
"18","Mast cells",57
"19","Monocyte-derived Mφ",1
"20","Multiciliated (non-nasal)",284
"21","Myofibroblasts",10
"22","Peribronchial fibroblasts",2
"23","Pericytes",52
"24","Plasma cells",17
"25","Smooth muscle",208
"26","Transitional Club-AT2",12
