"","cell_type","count"
"1","Adventitial fibroblasts",27
"2","Alveolar fibroblasts",201
"3","AT1",1159
"4","AT2",463
"5","B cells",58
"6","Basal resting",287
"7","CD4 T cells",660
"8","CD8 T cells",1135
"9","Classical monocytes",9
"10","Club (nasal)",1
"11","Club (non-nasal)",36
"12","EC aerocyte capillary",11
"13","EC arterial",231
"14","EC general capillary",1410
"15","EC venous pulmonary",4
"16","EC venous systemic",246
"17","Ionocyte",3
"18","Mast cells",16
"19","Multiciliated (non-nasal)",713
"20","Myofibroblasts",24
"21","Pericytes",50
"22","Plasma cells",11
"23","Plasmacytoid DCs",1
"24","SMG duct",12
"25","SMG serous (bronchial)",71
"26","Smooth muscle",144
"27","Transitional Club-AT2",17
