"","cell_type","count"
"1","Adventitial fibroblasts",6
"2","Alveolar fibroblasts",177
"3","AT1",1369
"4","AT2",1042
"5","B cells",59
"6","Basal resting",16
"7","CD4 T cells",606
"8","CD8 T cells",1701
"9","Classical monocytes",15
"10","Club (non-nasal)",9
"11","DC2",1
"12","EC aerocyte capillary",90
"13","EC arterial",163
"14","EC general capillary",2739
"15","EC venous pulmonary",46
"16","EC venous systemic",414
"17","Lymphatic EC mature",15
"18","Mast cells",44
"19","Multiciliated (non-nasal)",190
"20","Myofibroblasts",33
"21","NK cells",2
"22","Pericytes",83
"23","Plasma cells",15
"24","Smooth muscle",117
"25","Transitional Club-AT2",46
"26","Tuft",1
