"","cell_type","count"
"1","Adventitial fibroblasts",8
"2","Alveolar fibroblasts",198
"3","Alveolar macrophages",3
"4","AT1",1501
"5","AT2",1374
"6","B cells",75
"7","Basal resting",16
"8","CD4 T cells",1183
"9","CD8 T cells",692
"10","Classical monocytes",7
"11","Club (non-nasal)",10
"12","DC2",2
"13","EC aerocyte capillary",79
"14","EC arterial",58
"15","EC general capillary",2718
"16","EC venous systemic",148
"17","Ionocyte",1
"18","Lymphatic EC mature",40
"19","Mast cells",21
"20","Multiciliated (non-nasal)",149
"21","Myofibroblasts",6
"22","NK cells",1
"23","Pericytes",122
"24","Plasma cells",36
"25","SMG serous (bronchial)",1
"26","Smooth muscle",135
"27","Transitional Club-AT2",104
