"","cell_type","count"
"1","Adventitial fibroblasts",84
"2","Alveolar fibroblasts",602
"3","Alveolar macrophages",21
"4","AT1",1214
"5","AT2",2156
"6","AT2 proliferating",2
"7","B cells",118
"8","Basal resting",249
"9","CD4 T cells",1479
"10","CD8 T cells",1733
"11","Classical monocytes",59
"12","Club (nasal)",7
"13","Club (non-nasal)",41
"14","EC aerocyte capillary",6
"15","EC arterial",125
"16","EC general capillary",1820
"17","EC venous pulmonary",19
"18","EC venous systemic",356
"19","Goblet (bronchial)",1
"20","Goblet (nasal)",1
"21","Ionocyte",5
"22","Lymphatic EC mature",73
"23","Mast cells",25
"24","Multiciliated (non-nasal)",405
"25","Myofibroblasts",1
"26","Non-classical monocytes",1
"27","Peribronchial fibroblasts",2
"28","Pericytes",112
"29","Plasma cells",21
"30","SMG duct",16
"31","SMG serous (bronchial)",9
"32","Smooth muscle",204
"33","Suprabasal",15
"34","Transitional Club-AT2",18
