"","cell_type","count"
"1","Adventitial fibroblasts",140
"2","Alveolar fibroblasts",743
"3","Alveolar macrophages",111
"4","Alveolar Mφ proliferating",1
"5","AT1",1345
"6","AT2",3372
"7","AT2 proliferating",51
"8","B cells",33
"9","Basal resting",47
"10","CD4 T cells",2104
"11","CD8 T cells",450
"12","Classical monocytes",154
"13","Club (non-nasal)",33
"14","DC2",74
"15","EC aerocyte capillary",215
"16","EC arterial",358
"17","EC general capillary",1736
"18","EC venous pulmonary",6
"19","EC venous systemic",92
"20","Interstitial Mφ perivascular",15
"21","Ionocyte",25
"22","Lymphatic EC mature",53
"23","Mast cells",9
"24","Monocyte-derived Mφ",96
"25","Multiciliated (nasal)",8
"26","Multiciliated (non-nasal)",180
"27","Myofibroblasts",8
"28","NK cells",3
"29","Non-classical monocytes",20
"30","Peribronchial fibroblasts",21
"31","Pericytes",64
"32","Plasma cells",15
"33","Smooth muscle",324
"34","Suprabasal",8
"35","Transitional Club-AT2",84
