,cell_type,sex,race,count,percentage
0,fibroblast,female,African American or Afro-Caribbean,340,11.239669421487603
1,epithelial cell,female,African American or Afro-Caribbean,2,0.06611570247933884
2,T cell,female,African American or Afro-Caribbean,5,0.1652892561983471
3,endothelial cell,female,African American or Afro-Caribbean,1972,65.1900826446281
4,macrophage,female,African American or Afro-Caribbean,36,1.1900826446280992
5,vascular associated smooth muscle cell,female,African American or Afro-Caribbean,390,12.892561983471074
6,pericyte cell,female,African American or Afro-Caribbean,74,2.446280991735537
7,endothelial cell of lymphatic vessel,female,African American or Afro-Caribbean,2,0.06611570247933884
8,epithelial cell of uterus,female,African American or Afro-Caribbean,7,0.23140495867768596
9,myometrial cell,female,African American or Afro-Caribbean,197,6.5123966942148765
