cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,105,2.10042
Astro L1-6 FGFR3 PLCG1,280,5.60112
Endo L2-5 NOSTRIN SRGN,10,0.200040
Exc L2 LAMP5 KCNG3,2,0.0400080
Exc L2 LINC00507 GLRA3,691,13.8228
Exc L3 RORB OTOGL,1004,20.0840
Exc L3 THEMIS ENPEP,96,1.92038
Exc L3-5 RORB LINC01202,3,0.0600120
Exc L3-5 RORB LNX2,39,0.780156
Exc L3-5 RORB RPRM,9,0.180036
Exc L5 FEZF2 PKD2L1,25,0.500100
Exc L5 RORB MED8,14,0.280056
Exc L5 THEMIS SLC22A18,363,7.26145
Exc L5-6 FEZF2 C9orf135-AS1,13,0.260052
Exc L5-6 FEZF2 LPO,1,0.0200040
Exc L5-6 FEZF2 OR1L8,1,0.0200040
Exc L5-6 THEMIS SMYD1,27,0.540108
Exc L5-6 THEMIS TNFAIP6,1,0.0200040
Exc L6 FEZF2 FFAR4,4,0.0800160
Exc L6 FEZF2 PROKR2,8,0.160032
Exc L6 THEMIS SLN,4,0.0800160
Exc L6 THEMIS SNTG2,6,0.120024
Inh L1 LAMP5 BMP2,47,0.940188
Inh L1 LAMP5 NMBR,4,0.0800160
Inh L1 LAMP5 PVRL2,1,0.0200040
Inh L1 LAMP5 RAB11FIP1,28,0.560112
Inh L1 PAX6 CHRFAM7A,39,0.780156
Inh L1 PAX6 MIR101-1,14,0.280056
Inh L1 SST DEFB108B,12,0.240048
Inh L1 VIP KLHDC8B,11,0.220044
Inh L1-2 PVALB CDK20,22,0.440088
Inh L1-2 SST CCNJL,2,0.0400080
Inh L1-2 VIP EXPH5,5,0.100020
Inh L1-2 VIP PTGER3,3,0.0600120
Inh L1-2 VIP WNT4,1,0.0200040
Inh L1-3 SST FAM20A,105,2.10042
Inh L1-3 VIP CBLN1,2,0.0400080
Inh L1-3 VIP CHRNA2,2,0.0400080
Inh L1-3 VIP FNDC1,5,0.100020
Inh L1-3 VIP HSPB6,64,1.28026
Inh L1-5 VIP CD27-AS1,1,0.0200040
Inh L1-5 VIP LINC01013,15,0.300060
Inh L1-5 VIP SMOC1,39,0.780156
Inh L1-6 LAMP5 AARD,43,0.860172
Inh L1-6 LAMP5 CA1,104,2.08042
Inh L1-6 LAMP5 NES,118,2.36047
Inh L1-6 PVALB COL15A1,68,1.36027
Inh L1-6 SST NPY,18,0.360072
Inh L2 PAX6 FREM2,12,0.240048
Inh L2-5 PVALB RPH3AL,35,0.700140
Inh L2-5 VIP BSPRY,1,0.0200040
Inh L2-5 VIP SOX11,6,0.120024
Inh L3 PVALB SAMD13,1,0.0200040
Inh L3-5 VIP HS3ST3A1,12,0.240048
Inh L3-5 VIP IGDCC3,117,2.34047
Inh L3-5 VIP TAC3,257,5.14103
Inh L3-6 PAX6 LINC01497,23,0.460092
Inh L5-6 LAMP5 CRABP1,11,0.220044
Inh L5-6 PVALB GAPDHP60,2,0.0400080
Inh L5-6 SST C4orf26,1,0.0200040
Inh L6 SST TH,1,0.0200040
Micro L1-6 TYROBP CD74,80,1.60032
Oligo L2-6 OPALIN FTH1P3,773,15.4631
Oligo L3-6 OPALIN ENPP6,24,0.480096
Oligo L3-6 OPALIN LRP4-AS1,20,0.400080
OPC L1-6 PDGFRA COL20A1,87,1.74035
VLMC L1-5 PDGFRA COLEC12,57,1.14023
