"","cell_type","count","percentage"
"1","ASDC_mDC",8,0.0219581148958362
"2","ASDC_pDC",8,0.0219581148958362
"3","B intermediate kappa",301,0.826174072955837
"4","B intermediate lambda",598,1.64136908846376
"5","B memory kappa",304,0.834408366041775
"6","B memory lambda",293,0.804215958060001
"7","B naive kappa",570,1.56451568632833
"8","B naive lambda",333,0.914006532539182
"9","CD14 Mono",3673,10.0815195015508
"10","CD16 Mono",891,2.44558504652376
"11","CD4 CTL",296,0.812450251145939
"12","CD4 Naive",1403,3.85090439985727
"13","CD4 Proliferating",57,0.156451568632833
"14","CD4 TCM_1",8141,22.3451266708753
"15","CD4 TCM_2",593,1.62764526665386
"16","CD4 TCM_3",6155,16.894024647984
"17","CD4 TEM_1",227,0.623061510169352
"18","CD4 TEM_2",66,0.181154447890649
"19","CD4 TEM_3",347,0.952433233606895
"20","CD4 TEM_4",63,0.17292015480471
"21","CD8 Naive",981,2.69261383910191
"22","CD8 Naive_2",167,0.45837564845058
"23","CD8 Proliferating",31,0.0850876952213652
"24","CD8 TCM_1",929,2.54988609227898
"25","CD8 TCM_2",1322,3.62857848653693
"26","CD8 TCM_3",632,1.73469107677106
"27","CD8 TEM_1",299,0.820684544231878
"28","CD8 TEM_2",335,0.919496061263141
"29","CD8 TEM_3",290,0.795981664974062
"30","CD8 TEM_4",285,0.782257843164164
"31","CD8 TEM_5",283,0.776768314440205
"32","CD8 TEM_6",304,0.834408366041775
"33","cDC1",150,0.411714654296929
"34","cDC2_1",173,0.474844234622458
"35","cDC2_2",299,0.820684544231878
"36","dnT_1",63,0.17292015480471
"37","dnT_2",118,0.323882194713584
"38","Eryth",81,0.222325913320341
"39","gdT_1",301,0.826174072955837
"40","gdT_2",196,0.537973814947987
"41","gdT_3",231,0.63404056761727
"42","gdT_4",107,0.293689786731809
"43","HSPC",300,0.823429308593857
"44","ILC",131,0.359564131419318
"45","MAIT",600,1.64685861718771
"46","NK Proliferating",214,0.587379573463618
"47","NK_1",569,1.56177092196635
"48","NK_2",657,1.80331018582055
"49","NK_3",190,0.52150522877611
"50","NK_4",130,0.356819367057338
"51","NK_CD56bright",291,0.798726429336042
"52","pDC",284,0.779513078802185
"53","Plasma",262,0.719128262838635
"54","Plasmablast",37,0.101556281393242
"55","Platelet",566,1.55353662888041
"56","Treg Memory",160,0.439162297916724
"57","Treg Naive",138,0.378777481953174
