,dataset_name,cell_type,cell_type_ontology_id,sex,race,count,percentage
0,Global,macrophage,CL:0000235,female,unknown,1,0.003479350057409276
1,Global,CD4-positive helper T cell,CL:0000492,female,unknown,6,0.020876100344455657
2,Global,alveolar macrophage,CL:0000583,female,unknown,1,0.003479350057409276
3,Global,alpha-beta T cell,CL:0000789,female,unknown,1,0.003479350057409276
4,Global,gamma-delta T cell,CL:0000798,female,unknown,2,0.006958700114818552
5,Global,classical monocyte,CL:0000860,female,unknown,6,0.020876100344455657
6,Global,non-classical monocyte,CL:0000875,female,unknown,1,0.003479350057409276
7,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,female,unknown,1,0.003479350057409276
8,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,female,unknown,2,0.006958700114818552
9,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,female,unknown,1,0.003479350057409276
10,Global,mucosal invariant T cell,CL:0000940,female,unknown,1,0.003479350057409276
11,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,female,unknown,2,0.006958700114818552
12,Global,CD4-positive helper T cell,CL:0000492,male,unknown,2,0.006958700114818552
13,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,male,unknown,1,0.003479350057409276
14,Global,plasmablast,CL:0000980,male,unknown,1,0.003479350057409276
15,Global,mast cell,CL:0000097,male,unknown,8,0.02783480045927421
16,Global,macrophage,CL:0000235,male,unknown,39,0.13569465223896177
17,Global,CD4-positive helper T cell,CL:0000492,male,unknown,158,0.5497373090706655
18,Global,lymphocyte,CL:0000542,male,unknown,122,0.4244807070039317
19,Global,animal cell,CL:0000548,male,unknown,11,0.038272850631502035
20,Global,alveolar macrophage,CL:0000583,male,unknown,1,0.003479350057409276
21,Global,plasma cell,CL:0000786,male,unknown,14,0.04871090080372986
22,Global,memory B cell,CL:0000787,male,unknown,7,0.02435545040186493
23,Global,alpha-beta T cell,CL:0000789,male,unknown,76,0.26443060436310495
24,Global,gamma-delta T cell,CL:0000798,male,unknown,13,0.045231550746320584
25,Global,germinal center B cell,CL:0000844,male,unknown,2,0.006958700114818552
26,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,male,unknown,1,0.003479350057409276
27,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,male,unknown,5,0.01739675028704638
28,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,male,unknown,222,0.7724157127448592
29,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,male,unknown,3,0.010438050172227828
30,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,male,unknown,1,0.003479350057409276
31,Global,plasmablast,CL:0000980,male,unknown,1,0.003479350057409276
32,Global,conventional dendritic cell,CL:0000990,male,unknown,13,0.045231550746320584
33,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,male,unknown,24,0.08350440137782263
34,Global,group 3 innate lymphoid cell,CL:0001071,male,unknown,2,0.006958700114818552
35,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,male,unknown,3,0.010438050172227828
36,Global,T follicular helper cell,CL:0002038,male,unknown,9,0.03131415051668348
37,Global,macrophage,CL:0000235,female,unknown,11,0.038272850631502035
38,Global,CD4-positive helper T cell,CL:0000492,female,unknown,70,0.24355450401864934
39,Global,lymphocyte,CL:0000542,female,unknown,4,0.013917400229637104
40,Global,animal cell,CL:0000548,female,unknown,1,0.003479350057409276
41,Global,plasma cell,CL:0000786,female,unknown,7,0.02435545040186493
42,Global,memory B cell,CL:0000787,female,unknown,5,0.01739675028704638
43,Global,naive B cell,CL:0000788,female,unknown,1,0.003479350057409276
44,Global,alpha-beta T cell,CL:0000789,female,unknown,13,0.045231550746320584
45,Global,gamma-delta T cell,CL:0000798,female,unknown,86,0.29922410493719775
46,Global,regulatory T cell,CL:0000815,female,unknown,2,0.006958700114818552
47,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,female,unknown,1,0.003479350057409276
48,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,female,unknown,1,0.003479350057409276
49,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,female,unknown,124,0.43143940711875023
50,Global,conventional dendritic cell,CL:0000990,female,unknown,8,0.02783480045927421
51,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,female,unknown,5,0.01739675028704638
52,Global,group 3 innate lymphoid cell,CL:0001071,female,unknown,1,0.003479350057409276
53,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,female,unknown,3,0.010438050172227828
54,Global,T follicular helper cell,CL:0002038,female,unknown,3,0.010438050172227828
55,Global,macrophage,CL:0000235,female,unknown,1,0.003479350057409276
56,Global,CD4-positive helper T cell,CL:0000492,female,unknown,69,0.24007515396124005
57,Global,animal cell,CL:0000548,female,unknown,2,0.006958700114818552
58,Global,plasma cell,CL:0000786,female,unknown,5,0.01739675028704638
59,Global,memory B cell,CL:0000787,female,unknown,41,0.14265335235378032
60,Global,naive B cell,CL:0000788,female,unknown,20,0.06958700114818551
61,Global,alpha-beta T cell,CL:0000789,female,unknown,18,0.06262830103336696
62,Global,gamma-delta T cell,CL:0000798,female,unknown,26,0.09046310149264117
63,Global,regulatory T cell,CL:0000815,female,unknown,1,0.003479350057409276
64,Global,classical monocyte,CL:0000860,female,unknown,1,0.003479350057409276
65,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,female,unknown,1,0.003479350057409276
66,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,female,unknown,2,0.006958700114818552
67,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,female,unknown,157,0.5462579590132564
68,Global,group 3 innate lymphoid cell,CL:0001071,female,unknown,1,0.003479350057409276
69,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,female,unknown,8,0.02783480045927421
70,Global,T follicular helper cell,CL:0002038,female,unknown,4,0.013917400229637104
71,Global,macrophage,CL:0000235,male,unknown,7,0.02435545040186493
72,Global,CD4-positive helper T cell,CL:0000492,male,unknown,18,0.06262830103336696
73,Global,lymphocyte,CL:0000542,male,unknown,1,0.003479350057409276
74,Global,animal cell,CL:0000548,male,unknown,6,0.020876100344455657
75,Global,alveolar macrophage,CL:0000583,male,unknown,1,0.003479350057409276
76,Global,plasma cell,CL:0000786,male,unknown,1,0.003479350057409276
77,Global,memory B cell,CL:0000787,male,unknown,52,0.18092620298528234
78,Global,naive B cell,CL:0000788,male,unknown,1,0.003479350057409276
79,Global,alpha-beta T cell,CL:0000789,male,unknown,6,0.020876100344455657
80,Global,gamma-delta T cell,CL:0000798,male,unknown,7,0.02435545040186493
81,Global,germinal center B cell,CL:0000844,male,unknown,11,0.038272850631502035
82,Global,non-classical monocyte,CL:0000875,male,unknown,1,0.003479350057409276
83,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,male,unknown,1,0.003479350057409276
84,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,male,unknown,1,0.003479350057409276
85,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,male,unknown,29,0.100901151664869
86,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,male,unknown,1,0.003479350057409276
87,Global,mucosal invariant T cell,CL:0000940,male,unknown,3,0.010438050172227828
88,Global,plasmablast,CL:0000980,male,unknown,1,0.003479350057409276
89,Global,conventional dendritic cell,CL:0000990,male,unknown,2,0.006958700114818552
90,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,male,unknown,2,0.006958700114818552
91,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,male,unknown,2,0.006958700114818552
92,Global,mast cell,CL:0000097,male,unknown,2,0.006958700114818552
93,Global,macrophage,CL:0000235,male,unknown,2,0.006958700114818552
94,Global,CD4-positive helper T cell,CL:0000492,male,unknown,6,0.020876100344455657
95,Global,plasma cell,CL:0000786,male,unknown,2,0.006958700114818552
96,Global,alpha-beta T cell,CL:0000789,male,unknown,13,0.045231550746320584
97,Global,gamma-delta T cell,CL:0000798,male,unknown,3,0.010438050172227828
98,Global,regulatory T cell,CL:0000815,male,unknown,1,0.003479350057409276
99,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,male,unknown,1,0.003479350057409276
100,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,male,unknown,2,0.006958700114818552
101,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,male,unknown,1,0.003479350057409276
102,Global,mast cell,CL:0000097,female,unknown,1,0.003479350057409276
103,Global,macrophage,CL:0000235,female,unknown,45,0.1565707525834174
104,Global,CD4-positive helper T cell,CL:0000492,female,unknown,1254,4.363104971991232
105,Global,lymphocyte,CL:0000542,female,unknown,48,0.16700880275564525
106,Global,animal cell,CL:0000548,female,unknown,33,0.11481855189450611
107,Global,alveolar macrophage,CL:0000583,female,unknown,8,0.02783480045927421
108,Global,plasmacytoid dendritic cell,CL:0000784,female,unknown,2,0.006958700114818552
109,Global,plasma cell,CL:0000786,female,unknown,1,0.003479350057409276
110,Global,memory B cell,CL:0000787,female,unknown,1,0.003479350057409276
111,Global,alpha-beta T cell,CL:0000789,female,unknown,481,1.6735673776138618
112,Global,gamma-delta T cell,CL:0000798,female,unknown,894,3.1105389513238926
113,Global,germinal center B cell,CL:0000844,female,unknown,3,0.010438050172227828
114,Global,classical monocyte,CL:0000860,female,unknown,3,0.010438050172227828
115,Global,non-classical monocyte,CL:0000875,female,unknown,1,0.003479350057409276
116,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,female,unknown,4,0.013917400229637104
117,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,female,unknown,1,0.003479350057409276
