,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Tabula Sapiens - All Cells,fibroblast,CL:0000057,female,African American or Afro-Caribbean,61-year-old human stage,25,0.20052939760968955
1,Tabula Sapiens - All Cells,gut endothelial cell,CL:0000131,female,African American or Afro-Caribbean,61-year-old human stage,31,0.24865645303601508
2,Tabula Sapiens - All Cells,goblet cell,CL:0000160,female,African American or Afro-Caribbean,61-year-old human stage,61,0.4892917301676426
3,Tabula Sapiens - All Cells,B cell,CL:0000236,female,African American or Afro-Caribbean,61-year-old human stage,78,0.6256517205422315
4,Tabula Sapiens - All Cells,enterocyte,CL:0000584,female,African American or Afro-Caribbean,61-year-old human stage,942,7.555947701933103
5,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",CL:0000625,female,African American or Afro-Caribbean,61-year-old human stage,92,0.7379481832036576
6,Tabula Sapiens - All Cells,neutrophil,CL:0000775,female,African American or Afro-Caribbean,61-year-old human stage,4,0.03208470361755033
7,Tabula Sapiens - All Cells,intestinal crypt stem cell,CL:0002250,female,African American or Afro-Caribbean,61-year-old human stage,102,0.8181599422475335
8,Tabula Sapiens - All Cells,transit amplifying cell of small intestine,CL:0009012,female,African American or Afro-Caribbean,61-year-old human stage,100,0.8021175904387582
9,Tabula Sapiens - All Cells,intestinal tuft cell,CL:0019032,female,African American or Afro-Caribbean,61-year-old human stage,14,0.11229646266142618
10,Tabula Sapiens - All Cells,paneth cell of epithelium of small intestine,CL:1000343,female,African American or Afro-Caribbean,61-year-old human stage,470,3.769952675062164
11,Tabula Sapiens - All Cells,intestinal enteroendocrine cell,CL:1001516,female,African American or Afro-Caribbean,61-year-old human stage,46,0.3689740916018288
12,Tabula Sapiens - All Cells,duodenum glandular cell,CL:1001589,female,African American or Afro-Caribbean,61-year-old human stage,44,0.3529317397930537
13,Tabula Sapiens - All Cells,fibroblast,CL:0000057,male,European,59-year-old human stage,88,0.7058634795861074
14,Tabula Sapiens - All Cells,mast cell,CL:0000097,male,European,59-year-old human stage,65,0.5213764337851928
15,Tabula Sapiens - All Cells,gut endothelial cell,CL:0000131,male,European,59-year-old human stage,15,0.12031763856581373
16,Tabula Sapiens - All Cells,B cell,CL:0000236,male,European,59-year-old human stage,441,3.537338573834924
17,Tabula Sapiens - All Cells,monocyte,CL:0000576,male,European,59-year-old human stage,61,0.4892917301676426
18,Tabula Sapiens - All Cells,"CD4-positive, alpha-beta T cell",CL:0000624,male,European,59-year-old human stage,5257,42.167321729365526
19,Tabula Sapiens - All Cells,"CD8-positive, alpha-beta T cell",CL:0000625,male,European,59-year-old human stage,2231,17.8952434426887
20,Tabula Sapiens - All Cells,neutrophil,CL:0000775,male,European,59-year-old human stage,64,0.5133552578808053
21,Tabula Sapiens - All Cells,plasma cell,CL:0000786,male,European,59-year-old human stage,303,2.430416299029438
22,Tabula Sapiens - All Cells,transit amplifying cell of small intestine,CL:0009012,male,European,59-year-old human stage,127,1.0186893398572232
23,Tabula Sapiens - All Cells,intestinal crypt stem cell of small intestine,CL:0009017,male,European,59-year-old human stage,71,0.5695034892115184
24,Tabula Sapiens - All Cells,intestinal tuft cell,CL:0019032,male,European,59-year-old human stage,146,1.1710916820405872
25,Tabula Sapiens - All Cells,enterocyte of epithelium of small intestine,CL:1000334,male,European,59-year-old human stage,1100,8.823293494826341
26,Tabula Sapiens - All Cells,paneth cell of epithelium of small intestine,CL:1000343,male,European,59-year-old human stage,177,1.4197481350766021
27,Tabula Sapiens - All Cells,small intestine goblet cell,CL:1000495,male,European,59-year-old human stage,300,2.406352771316275
28,Tabula Sapiens - All Cells,intestinal enteroendocrine cell,CL:1001516,male,European,59-year-old human stage,12,0.096254110852651
