,cell_type,sex,race,count,percentage
0,fibroblast,male,Hispanic or Latin American,2456,24.828143954710878
1,T cell,male,Hispanic or Latin American,525,5.30731904569349
2,mast cell,male,Hispanic or Latin American,2,0.020218358269308533
3,endothelial cell,male,Hispanic or Latin American,1122,11.342498989082086
4,mesenchymal stem cell,male,Hispanic or Latin American,1,0.010109179134654266
5,myofibroblast cell,male,Hispanic or Latin American,332,3.3562474727052165
6,macrophage,male,Hispanic or Latin American,1212,12.252325111200971
7,B cell,male,Hispanic or Latin American,8,0.08087343307723413
8,leukocyte,male,Hispanic or Latin American,54,0.5458956732713304
9,plasma cell,male,Hispanic or Latin American,10,0.10109179134654267
10,mature NK T cell,male,Hispanic or Latin American,483,4.88273352203801
11,fibroblast,male,European,2111,21.340477153255154
12,T cell,male,European,185,1.8701981399110394
13,endothelial cell,male,European,662,6.692276587141125
14,myofibroblast cell,male,European,338,3.416902547513142
15,smooth muscle cell,male,European,3,0.0303275374039628
16,macrophage,male,European,302,3.0529720986655886
17,neutrophil,male,European,69,0.6975333602911443
18,mature NK T cell,male,European,17,0.17185604528912252
