,dataset_name,cell_type,cell_type_ontology_id,sex,race,development_stage,count,percentage
0,Global,macrophage,CL:0000235,female,unknown,eighth decade human stage,5,0.007981228151387937
1,Global,CD4-positive helper T cell,CL:0000492,female,unknown,eighth decade human stage,30,0.047887368908327614
2,Global,lymphocyte,CL:0000542,female,unknown,eighth decade human stage,16,0.025539930084441394
3,Global,animal cell,CL:0000548,female,unknown,eighth decade human stage,22,0.03511740386610692
4,Global,alveolar macrophage,CL:0000583,female,unknown,eighth decade human stage,2,0.003192491260555174
5,Global,erythroid lineage cell,CL:0000764,female,unknown,eighth decade human stage,1,0.001596245630277587
6,Global,plasmacytoid dendritic cell,CL:0000784,female,unknown,eighth decade human stage,15,0.023943684454163807
7,Global,plasma cell,CL:0000786,female,unknown,eighth decade human stage,40,0.0638498252111035
8,Global,memory B cell,CL:0000787,female,unknown,eighth decade human stage,352,0.5618784618577107
9,Global,naive B cell,CL:0000788,female,unknown,eighth decade human stage,674,1.0758695548070938
10,Global,alpha-beta T cell,CL:0000789,female,unknown,eighth decade human stage,201,0.320845371685795
11,Global,gamma-delta T cell,CL:0000798,female,unknown,eighth decade human stage,17,0.02713617571471898
12,Global,regulatory T cell,CL:0000815,female,unknown,eighth decade human stage,645,1.0295784315290437
13,Global,germinal center B cell,CL:0000844,female,unknown,eighth decade human stage,18,0.02873242134499657
14,Global,classical monocyte,CL:0000860,female,unknown,eighth decade human stage,4,0.006384982521110348
15,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,female,unknown,eighth decade human stage,1333,2.1277954251600235
16,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,female,unknown,eighth decade human stage,107,0.17079828243970183
17,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,female,unknown,eighth decade human stage,772,1.2323016265742972
18,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,female,unknown,eighth decade human stage,65,0.10375596596804315
19,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,female,unknown,eighth decade human stage,4,0.006384982521110348
20,Global,mucosal invariant T cell,CL:0000940,female,unknown,eighth decade human stage,14,0.022347438823886217
21,Global,plasmablast,CL:0000980,female,unknown,eighth decade human stage,35,0.055868597059715544
22,Global,conventional dendritic cell,CL:0000990,female,unknown,eighth decade human stage,15,0.023943684454163807
23,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,female,unknown,eighth decade human stage,1,0.001596245630277587
24,Global,group 3 innate lymphoid cell,CL:0001071,female,unknown,eighth decade human stage,19,0.030328666975274154
25,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,female,unknown,eighth decade human stage,126,0.20112694941497597
26,Global,T follicular helper cell,CL:0002038,female,unknown,eighth decade human stage,248,0.3958689163088416
27,Global,mast cell,CL:0000097,female,unknown,seventh decade human stage,33,0.05267610579916038
28,Global,macrophage,CL:0000235,female,unknown,seventh decade human stage,13,0.020751193193608634
29,Global,CD4-positive helper T cell,CL:0000492,female,unknown,seventh decade human stage,292,0.46610372404105543
30,Global,lymphocyte,CL:0000542,female,unknown,seventh decade human stage,116,0.1851644931122001
31,Global,animal cell,CL:0000548,female,unknown,seventh decade human stage,121,0.19314572126358803
32,Global,alveolar macrophage,CL:0000583,female,unknown,seventh decade human stage,24,0.038309895126662094
33,Global,plasmacytoid dendritic cell,CL:0000784,female,unknown,seventh decade human stage,37,0.059061088320270724
34,Global,plasma cell,CL:0000786,female,unknown,seventh decade human stage,147,0.2346481076508053
35,Global,memory B cell,CL:0000787,female,unknown,seventh decade human stage,1535,2.450237042476096
36,Global,naive B cell,CL:0000788,female,unknown,seventh decade human stage,494,0.7885453413571281
37,Global,alpha-beta T cell,CL:0000789,female,unknown,seventh decade human stage,254,0.40544639009050715
38,Global,gamma-delta T cell,CL:0000798,female,unknown,seventh decade human stage,3,0.004788736890832762
39,Global,regulatory T cell,CL:0000815,female,unknown,seventh decade human stage,1385,2.2108001979344585
40,Global,germinal center B cell,CL:0000844,female,unknown,seventh decade human stage,33,0.05267610579916038
41,Global,classical monocyte,CL:0000860,female,unknown,seventh decade human stage,22,0.03511740386610692
42,Global,non-classical monocyte,CL:0000875,female,unknown,seventh decade human stage,7,0.011173719411943108
43,Global,"naive thymus-derived CD4-positive, alpha-beta T cell",CL:0000895,female,unknown,seventh decade human stage,3784,6.04019346497039
44,Global,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,female,unknown,seventh decade human stage,588,0.9385924306032212
45,Global,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,female,unknown,seventh decade human stage,1216,1.9410346864175458
46,Global,"CD8-positive, alpha-beta memory T cell",CL:0000909,female,unknown,seventh decade human stage,25,0.03990614075693968
47,Global,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,female,unknown,seventh decade human stage,370,0.5906108832027073
48,Global,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,female,unknown,seventh decade human stage,19,0.030328666975274154
49,Global,mucosal invariant T cell,CL:0000940,female,unknown,seventh decade human stage,40,0.0638498252111035
50,Global,plasmablast,CL:0000980,female,unknown,seventh decade human stage,42,0.06704231647165866
51,Global,conventional dendritic cell,CL:0000990,female,unknown,seventh decade human stage,23,0.036713649496384504
52,Global,"dendritic cell, human",CL:0001056,female,unknown,seventh decade human stage,22,0.03511740386610692
53,Global,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,female,unknown,seventh decade human stage,16,0.025539930084441394
54,Global,group 3 innate lymphoid cell,CL:0001071,female,unknown,seventh decade human stage,86,0.13727712420387247
55,Global,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",CL:0001203,female,unknown,seventh decade human stage,316,0.5044136191677175
56,Global,T follicular helper cell,CL:0002038,female,unknown,seventh decade human stage,1957,3.1238526984532378
57,Global,macrophage,CL:0000235,female,unknown,sixth decade human stage,17,0.02713617571471898
58,Global,CD4-positive helper T cell,CL:0000492,female,unknown,sixth decade human stage,55,0.08779350966526729
59,Global,lymphocyte,CL:0000542,female,unknown,sixth decade human stage,92,0.14685459798553802
60,Global,animal cell,CL:0000548,female,unknown,sixth decade human stage,54,0.0861972640349897
61,Global,alveolar macrophage,CL:0000583,female,unknown,sixth decade human stage,1,0.001596245630277587
62,Global,plasmacytoid dendritic cell,CL:0000784,female,unknown,sixth decade human stage,10,0.015962456302775874
