,cell_type,sex,race,count,percentage
0,fibroblast,female,European,3262,13.269332465524956
1,T cell,female,European,1221,4.9668470080950256
2,mast cell,female,European,649,2.6400357970955537
3,myofibroblast cell,female,European,1005,4.088191026319001
4,smooth muscle cell,female,European,81,0.329495993166009
5,macrophage,female,European,2093,8.514013749338973
6,B cell,female,European,11,0.044746369442297526
7,pericyte cell,female,European,511,2.078672253183094
8,plasmacytoid dendritic cell,female,European,18,0.07322133181466867
9,plasma cell,female,European,673,2.737664239515112
10,mature NK T cell,female,European,14,0.0569499247447423
11,endothelial cell of lymphatic vessel,female,European,67,0.2725460684212667
12,capillary endothelial cell,female,European,56,0.2277996989789692
13,vein endothelial cell,female,European,158,0.6427205792620917
14,bladder urothelial cell,female,European,1917,7.798071838262214
15,fibroblast,female,African American or Afro-Caribbean,1665,6.772973192856853
16,T cell,female,African American or Afro-Caribbean,1405,5.715331733311638
17,mast cell,female,African American or Afro-Caribbean,342,1.3912053044787047
18,myofibroblast cell,female,African American or Afro-Caribbean,984,4.002766139201888
19,smooth muscle cell,female,African American or Afro-Caribbean,146,0.5939063580523126
20,macrophage,female,African American or Afro-Caribbean,2783,11.320831468901273
21,B cell,female,African American or Afro-Caribbean,240,0.9762844241955824
22,pericyte cell,female,African American or Afro-Caribbean,197,0.8013667981938739
23,plasma cell,female,African American or Afro-Caribbean,468,1.9037546271813854
24,mature NK T cell,female,African American or Afro-Caribbean,471,1.9159581824838303
25,endothelial cell of lymphatic vessel,female,African American or Afro-Caribbean,6,0.024407110604889558
26,capillary endothelial cell,female,African American or Afro-Caribbean,10,0.04067851767481593
27,vein endothelial cell,female,African American or Afro-Caribbean,108,0.43932799088801205
28,bladder urothelial cell,female,African American or Afro-Caribbean,956,3.888866289712403
29,fibroblast,male,European,630,2.562746613513404
30,T cell,male,European,290,1.179677012569662
31,mast cell,male,European,38,0.15457836716430054
32,myofibroblast cell,male,European,89,0.3620388073058618
33,smooth muscle cell,male,European,63,0.25627466135134036
34,macrophage,male,European,462,1.8793475165764961
35,B cell,male,European,2,0.008135703534963186
36,pericyte cell,male,European,167,0.679331245169426
37,mature NK T cell,male,European,23,0.09356059065207664
38,endothelial cell of lymphatic vessel,male,European,1,0.004067851767481593
39,capillary endothelial cell,male,European,11,0.044746369442297526
40,vein endothelial cell,male,European,12,0.048814221209779116
41,bladder urothelial cell,male,European,1278,5.198714558841476
