,dataset_id,HuBMAP_tissue_block_id
1,CODEX_Florida_20-008-lymphnode10_righthalf,
2,GTEX-1CAMR-5015,
3,GTEX-1HSMQ-5007,
4,GTEX-15EOM-5003,
5,GTEX-1CAMS-5015,
6,GTEX-1MCC2-5013,
7,GTEX-1R9PN-5002,
8,GTEX-15CHR-5005,
9,GTEX-13N11-5030,
10,GTEX-1HSMQ-5005,
11,HBM399.TFTQ.282,HBM339.DBQF.784
12,HBM382.HNKL.447,HBM547.QLDF.845
13,HBM797.PDPS.368,HBM665.QHRJ.735
14,HBM839.TQNM.958,HBM974.MTJZ.548
15,18-142,
16,HBM773.WCXC.264,HBM534.PQDR.545
17,HBM264.RWRW.668,HBM534.PQDR.545
18,HBM665.PTMR.889,
19,HBM358.KDDT.729,
20,HBM992.XNZH.647,HBM833.VZTL.864
21,HBM892.MXFF.848,HBM496.GJFX.393
22,HBM224.GLDC.549,HBM588.QSNN.686
23,HBM764.ZCQR.585,HBM538.RWLX.332
24,18-312,
25,HBM574.NFCS.842,HBM667.TFXK.856
26,HBM578.SRZG.769,HBM798.ZZBP.697
27,HBM537.LTFK.379,HBM853.SNJJ.892
28,HBM982.TPNQ.737,HBM453.BKZB.338
29,HBM432.BPZM.698,HBM562.WMRL.498
30,HBM375.ZKZZ.765,HBM224.HCFB.249
31,18-162,
32,celltype_l2,
33,celltype_l1,
34,!rui_block1,
35,!rui_block2,
36,!rui_block3,
37,!rui_block4,
38,!rui_block5,
39,!rui_block6,
40,!rui_block7,
41,!rui_block8,
42,!rui_block9,
43,!rui_block10,
44,!rui_block11,
45,!rui_block12,
46,!rui_block13,
47,!rui_block14,
48,!rui_block15,
49,!rui_block16,
50,!rui_block17,
51,!rui_block18,
52,!rui_block19,
53,!rui_block20,
54,v1_annotation_l1,
55,v1_annotation_l2,
56,v2_ann_level_1,
57,v2_ann_level_3,
58,v2_ann_level_2,
59,v2_ann_level_5,
60,v2_ann_level_4,
61,v2_ann_finest_level,
62,10X160-7,
63,10X159-3,
64,10X159-2,
65,10X160-6,
66,10X159-1,
67,10X160-5,
68,10X160-1,
69,10X159-5,
70,10X159-4,
71,10X160-2,
72,10X159-6,
73,10X159-7,
74,10X160-3,
75,10X160-8,
76,cross_species_cluster,
77,subclass,
78,cluster,
79,class,
80,GTEX-1HSMQ-5021,
81,GTEX-1ICG6-5014,
82,GTEX-144GM-5010,
83,GTEX-13N11-5002,
84,GTEX-1ICG6-5003,
85,GTEX-15RIE-5015,
86,annotation_l1,
87,celltype_l2,
88,celltype_l1,
89,celltype_l2,
90,celltype_l3,
91,celltype_l1,
92,celltype_l2,
93,celltype_l1,
94,GTEX-12BJ1-5007,
95,GTEX-15CHR-5014,
96,GTEX-1I1GU-5006,
97,GTEX-1HSMQ-5014,
98,celltype_l2,
99,celltype_l1,
100,annotation_l1,
101,annotation_l2,
102,annotation_l3,
103,HBM892.HQDK.764,HBM937.HPQL.829
104,HBM537.GVTL.683,HBM964.XZCR.478
105,HBM932.TBDW.952,HBM974.MTJZ.548
106,HBM679.ZVHH.999,HBM562.WMRL.498
107,HBM837.TDQQ.538,HBM695.TGJS.338
108,HBM724.LVHJ.956,HBM455.PRVR.965
109,HBM987.ZCTQ.736,HBM642.VZNT.722
110,HBM688.FLJB.475,HBM964.XZCR.478
111,HBM495.ZFDT.229,HBM964.XZCR.478
112,HBM537.SKND.632,HBM566.KXSQ.967
113,HBM996.XSNK.694,HBM964.XZCR.478
114,HBM494.MQQL.234,HBM638.HSFV.957
115,HBM476.VHDB.268,HBM964.XZCR.478
116,HBM837.HQNL.776,HBM525.HTJF.586
117,HBM994.XRGN.328,HBM876.SJWP.278
118,HBM865.TRVX.355,HBM453.BKZB.338
119,HBM332.KQWB.454,HBM964.XZCR.478
120,HBM349.BJZL.272,HBM486.QXHD.874
121,HBM786.HSRC.868,HBM449.THVK.739
122,HBM532.RKTB.483,HBM534.PQDR.545
123,HBM729.RCXL.887,HBM336.BZXG.436
124,HBM944.XPFX.655,HBM748.GDSK.748
125,HBM664.LQSH.693,HBM964.XZCR.478
126,HBM799.ZJDP.379,HBM788.KSZC.942
127,HBM243.MTZV.726,HBM964.XZCR.478
128,HBM258.HQCL.349,HBM964.XZCR.478
129,HBM938.FTRX.289,HBM547.QLDF.845
130,HBM297.XVDG.492,HBM979.SSNH.934
131,HBM252.JLSW.848,HBM964.XZCR.478
132,HBM388.SGMJ.342,HBM496.GJFX.393
133,HBM384.DLRM.527,HBM345.QSPF.289
134,HBM697.GKCG.783,HBM574.LFRK.262
135,HBM884.TGCL.432,HBM635.PSTJ.637
136,HBM958.GZCX.985,HBM964.XZCR.478
137,HBM347.MRTV.333,HBM964.XZCR.478
138,HBM692.FLDL.779,HBM224.HCFB.249
139,HBM844.KXXX.692,HBM964.XZCR.478
140,HBM873.NSHG.559,HBM964.XZCR.478
141,HBM243.TTRM.823,HBM538.RWLX.332
142,HBM987.RLTF.378,HBM635.PSTJ.637
143,HBM563.FJNH.776,HBM587.VWCF.356
144,HBM268.RGJT.587,HBM534.PQDR.545
145,HBM246.KBZS.276,HBM964.XZCR.478
146,HBM375.WFJK.667,HBM788.KSZC.942
147,HBM684.TLPQ.738,HBM964.XZCR.478
148,HBM552.PBBF.363,HBM964.XZCR.478
149,HBM282.BKRZ.254,HBM964.XZCR.478
150,HBM584.JCQV.788,HBM556.CFNP.485
151,HBM272.FWMV.423,HBM449.THVK.739
152,HBM372.TFNT.572,HBM434.JDFP.839
153,HBM525.LRPL.332,HBM964.XZCR.478
154,HBM275.PDRR.759,HBM757.NMDS.629
155,HBM879.RZJJ.974,HBM752.DHVB.758
156,HBM826.VZFT.824,HBM345.QSPF.289
157,HBM634.QQWF.789,HBM964.XZCR.478
158,HBM979.KNQM.454,HBM964.XZCR.478
159,HBM752.ZRBH.538,HBM667.TFXK.856
160,HBM427.KFXP.323,HBM964.XZCR.478
