cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,2,0.0351927
Astro L1-6 FGFR3 PLCG1,122,2.14675
Endo L2-5 NOSTRIN SRGN,15,0.263945
Exc L2 LINC00507 GLRA3,166,2.92099
Exc L3 LAMP5 CARM1P1,3,0.0527890
Exc L5 THEMIS VILL,2,0.0351927
Inh L1 LAMP5 RAB11FIP1,1,0.0175963
Inh L1 VIP KLHDC8B,5,0.0879817
Inh L1-2 SST CLIC6,1,0.0175963
Inh L1-2 VIP EXPH5,1882,33.1163
Inh L1-3 VIP CHRNA2,1,0.0175963
Inh L1-5 VIP PHLDB3,1,0.0175963
Inh L1-5 VIP SMOC1,1,0.0175963
Inh L1-6 LAMP5 NES,18,0.316734
Inh L1-6 PVALB COL15A1,1352,23.7903
Inh L1-6 SST NPY,250,4.39908
Inh L1-6 VIP SLC7A6OS,118,2.07637
Inh L2-3 SST NMU,1,0.0175963
Inh L2-5 PVALB RPH3AL,5,0.0879817
Inh L3-5 PVALB ISG20,2,0.0351927
Inh L3-5 VIP TAC3,1,0.0175963
Inh L3-6 PAX6 LINC01497,1,0.0175963
Inh L3-6 VIP ZIM2-AS1,1,0.0175963
Inh L5-6 PVALB FAM150B,26,0.457505
Micro L1-6 TYROBP CD74,240,4.22312
Oligo L2-6 OPALIN FTH1P3,888,15.6255
Oligo L3-6 OPALIN ENPP6,262,4.61024
Oligo L3-6 OPALIN LRP4-AS1,73,1.28453
OPC L1-6 PDGFRA COL20A1,206,3.62485
VLMC L1-5 PDGFRA COLEC12,37,0.651065
