cell_type,annotation_level,ontology_id,sex,race,count,percentage
Afferent / Efferent Arteriole Endothelial,kidney_l3,CL_1001096,F,W,14,0.669536
Ascending Thin Limb,kidney_l3,CL_1001107,F,W,52,2.486848
Ascending Vasa Recta Endothelial,kidney_l3,CL_1001131,F,W,202,9.660450
Connecting Tubule,kidney_l3,CL_1000768,F,W,7,0.334768
Connecting Tubule Principal,kidney_l3,CL_1001431,F,W,11,0.526064
Cortical Collecting Duct Intercalated Type A,kidney_l3,CL_0005011,F,W,12,0.573888
Cortical Collecting Duct Principal,kidney_l3,CL_1001431,F,W,184,8.799617
Cortical Thick Ascending Limb,kidney_l3,,F,W,161,7.699665
Cortical Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,W,16,0.765184
Descending Thin Limb Type 1,kidney_l3,CL_1001111,F,W,203,9.708274
Descending Thin Limb Type 2,kidney_l3,CL_1001111,F,W,40,1.912960
Descending Thin Limb Type 3,kidney_l3,CL_1001111,F,W,45,2.152080
Descending Vasa Recta Endothelial ,kidney_l3,CL_1001285,F,W,129,6.169297
Distal Convoluted Tubule Type 1,kidney_l3,CL_1000849,F,W,15,0.717360
Distal Convoluted Tubule Type 2,kidney_l3,CL_1000849,F,W,1,0.047824
Fibroblast,kidney_l3,CL_0000057,F,W,17,0.813008
Glomerular Capillary Endothelial,kidney_l3,CL_1001005,F,W,14,0.669536
Inner Medullary Collecting Duct,kidney_l3,CL_1000547,F,W,6,0.286944
Intercalated Type B,kidney_l3,CL_0002201,F,W,5,0.239120
Lymphatic Endothelial,kidney_l3,CL_0002138,F,W,6,0.286944
Macula Densa,kidney_l3,CL_1000850,F,W,1,0.047824
Medullary Fibroblast,kidney_l3,CL_0000057,F,W,141,6.743185
Medullary Thick Ascending Limb,kidney_l3,CL_1001108,F,W,264,12.625538
Mesangial,kidney_l3,CL_0000650,F,W,3,0.143472
Monocyte,kidney_l3,,F,W,2,0.095648
Monocyte-derived,kidney_l3,CL_0000576,F,W,8,0.382592
Natural Killer / Natural Killer T,kidney_l3,,F,W,6,0.286944
Neutrophil,kidney_l3,CL_0000775,F,W,2,0.095648
Outer Medullary Collecting Duct Intercalated Type A,kidney_l3,CL_1000717,F,W,170,8.130081
Outer Medullary Collecting Duct Principal,kidney_l3,CL_1000716,F,W,7,0.334768
Parietal Epithelial,kidney_l3,CL_1000452,F,W,5,0.239120
Peritubular Capilary Endothelial ,kidney_l3,CL_1001033,F,W,47,2.247728
Plasma,kidney_l3,CL_0000786,F,W,6,0.286944
Plasmacytoid Dendritic,kidney_l3,CL_0000784,F,W,1,0.047824
Podocyte,kidney_l3,CL_0000653,F,W,22,1.052128
Proximal Tubule Epithelial Segment 1,kidney_l3,CL_0002306,F,W,112,5.356289
Proximal Tubule Epithelial Segment 3,kidney_l3,CL_0002306,F,W,63,3.012912
Schwann / Neural,kidney_l3,CL_0002573,F,W,1,0.047824
T,kidney_l3,CL_000084,F,W,14,0.669536
Tissue-resident Macrophage,kidney_l3,,F,W,18,0.860832
Vascular Smooth Muscle / Pericyte,kidney_l3,CL_0000359,F,W,58,2.773792
