,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,Second Trimester Human Developing Brain Regions and Cortical Areas,native cell,CL:0000003,GW22,unknown,unknown,22nd week post-fertilization human stage,1278,4.8486228090143415
1,Second Trimester Human Developing Brain Regions and Cortical Areas,blood vessel endothelial cell,CL:0000071,GW22,unknown,unknown,22nd week post-fertilization human stage,119,0.45147583276424613
2,Second Trimester Human Developing Brain Regions and Cortical Areas,microglial cell,CL:0000129,GW22,unknown,unknown,22nd week post-fertilization human stage,61,0.2314287882236892
3,Second Trimester Human Developing Brain Regions and Cortical Areas,glutamatergic neuron,CL:0000679,GW22,unknown,unknown,22nd week post-fertilization human stage,3544,13.445633204340238
4,Second Trimester Human Developing Brain Regions and Cortical Areas,Cajal-Retzius cell,CL:0000695,GW22,unknown,unknown,22nd week post-fertilization human stage,12,0.04552697473252903
5,Second Trimester Human Developing Brain Regions and Cortical Areas,oligodendrocyte precursor cell,CL:0002453,GW22,unknown,unknown,22nd week post-fertilization human stage,345,1.3089005235602094
6,Second Trimester Human Developing Brain Regions and Cortical Areas,cerebral cortex GABAergic interneuron,CL:0010011,GW22,unknown,unknown,22nd week post-fertilization human stage,1074,4.074664238561348
7,Second Trimester Human Developing Brain Regions and Cortical Areas,progenitor cell,CL:0011026,GW22,unknown,unknown,22nd week post-fertilization human stage,415,1.5744745428332954
8,Second Trimester Human Developing Brain Regions and Cortical Areas,forebrain radial glial cell,CL:0013000,GW22,unknown,unknown,22nd week post-fertilization human stage,756,2.8681994081493283
9,Second Trimester Human Developing Brain Regions and Cortical Areas,native cell,CL:0000003,GW22,unknown,unknown,22nd week post-fertilization human stage,1028,3.9001441687533194
10,Second Trimester Human Developing Brain Regions and Cortical Areas,blood vessel endothelial cell,CL:0000071,GW22,unknown,unknown,22nd week post-fertilization human stage,54,0.2048713862963806
11,Second Trimester Human Developing Brain Regions and Cortical Areas,microglial cell,CL:0000129,GW22,unknown,unknown,22nd week post-fertilization human stage,139,0.5273541239851278
12,Second Trimester Human Developing Brain Regions and Cortical Areas,glutamatergic neuron,CL:0000679,GW22,unknown,unknown,22nd week post-fertilization human stage,821,3.114803854617194
13,Second Trimester Human Developing Brain Regions and Cortical Areas,Cajal-Retzius cell,CL:0000695,GW22,unknown,unknown,22nd week post-fertilization human stage,2,0.00758782912208817
14,Second Trimester Human Developing Brain Regions and Cortical Areas,oligodendrocyte precursor cell,CL:0002453,GW22,unknown,unknown,22nd week post-fertilization human stage,160,0.6070263297670537
15,Second Trimester Human Developing Brain Regions and Cortical Areas,cerebral cortex GABAergic interneuron,CL:0010011,GW22,unknown,unknown,22nd week post-fertilization human stage,70,0.265574019273086
16,Second Trimester Human Developing Brain Regions and Cortical Areas,progenitor cell,CL:0011026,GW22,unknown,unknown,22nd week post-fertilization human stage,88,0.3338644813718795
17,Second Trimester Human Developing Brain Regions and Cortical Areas,forebrain radial glial cell,CL:0013000,GW22,unknown,unknown,22nd week post-fertilization human stage,646,2.450868806434479
18,Second Trimester Human Developing Brain Regions and Cortical Areas,native cell,CL:0000003,GW22,unknown,unknown,22nd week post-fertilization human stage,1136,4.309886941346082
19,Second Trimester Human Developing Brain Regions and Cortical Areas,blood vessel endothelial cell,CL:0000071,GW22,unknown,unknown,22nd week post-fertilization human stage,43,0.16313832612489565
20,Second Trimester Human Developing Brain Regions and Cortical Areas,microglial cell,CL:0000129,GW22,unknown,unknown,22nd week post-fertilization human stage,62,0.2352227027847333
21,Second Trimester Human Developing Brain Regions and Cortical Areas,glutamatergic neuron,CL:0000679,GW22,unknown,unknown,22nd week post-fertilization human stage,1503,5.70225358524926
22,Second Trimester Human Developing Brain Regions and Cortical Areas,Cajal-Retzius cell,CL:0000695,GW22,unknown,unknown,22nd week post-fertilization human stage,1,0.003793914561044085
23,Second Trimester Human Developing Brain Regions and Cortical Areas,oligodendrocyte precursor cell,CL:0002453,GW22,unknown,unknown,22nd week post-fertilization human stage,312,1.1837013430457546
24,Second Trimester Human Developing Brain Regions and Cortical Areas,cerebral cortex GABAergic interneuron,CL:0010011,GW22,unknown,unknown,22nd week post-fertilization human stage,275,1.0433265042871236
25,Second Trimester Human Developing Brain Regions and Cortical Areas,progenitor cell,CL:0011026,GW22,unknown,unknown,22nd week post-fertilization human stage,109,0.4135366871538053
26,Second Trimester Human Developing Brain Regions and Cortical Areas,forebrain radial glial cell,CL:0013000,GW22,unknown,unknown,22nd week post-fertilization human stage,889,3.3727900447681916
27,Second Trimester Human Developing Brain Regions and Cortical Areas,native cell,CL:0000003,GW22,unknown,unknown,22nd week post-fertilization human stage,2821,10.702632976705365
28,Second Trimester Human Developing Brain Regions and Cortical Areas,blood vessel endothelial cell,CL:0000071,GW22,unknown,unknown,22nd week post-fertilization human stage,50,0.18969572805220425
29,Second Trimester Human Developing Brain Regions and Cortical Areas,microglial cell,CL:0000129,GW22,unknown,unknown,22nd week post-fertilization human stage,109,0.4135366871538053
30,Second Trimester Human Developing Brain Regions and Cortical Areas,glutamatergic neuron,CL:0000679,GW22,unknown,unknown,22nd week post-fertilization human stage,708,2.6860915092192124
31,Second Trimester Human Developing Brain Regions and Cortical Areas,oligodendrocyte precursor cell,CL:0002453,GW22,unknown,unknown,22nd week post-fertilization human stage,309,1.1723195993626223
32,Second Trimester Human Developing Brain Regions and Cortical Areas,cerebral cortex GABAergic interneuron,CL:0010011,GW22,unknown,unknown,22nd week post-fertilization human stage,1834,6.958039304954852
33,Second Trimester Human Developing Brain Regions and Cortical Areas,progenitor cell,CL:0011026,GW22,unknown,unknown,22nd week post-fertilization human stage,306,1.16093785567949
34,Second Trimester Human Developing Brain Regions and Cortical Areas,forebrain radial glial cell,CL:0013000,GW22,unknown,unknown,22nd week post-fertilization human stage,1260,4.780332346915547
35,Second Trimester Human Developing Brain Regions and Cortical Areas,native cell,CL:0000003,GW22,unknown,unknown,22nd week post-fertilization human stage,2195,8.327642461491767
36,Second Trimester Human Developing Brain Regions and Cortical Areas,blood vessel endothelial cell,CL:0000071,GW22,unknown,unknown,22nd week post-fertilization human stage,22,0.08346612034296988
37,Second Trimester Human Developing Brain Regions and Cortical Areas,microglial cell,CL:0000129,GW22,unknown,unknown,22nd week post-fertilization human stage,63,0.23901661734577737
38,Second Trimester Human Developing Brain Regions and Cortical Areas,glutamatergic neuron,CL:0000679,GW22,unknown,unknown,22nd week post-fertilization human stage,846,3.2096517186432965
39,Second Trimester Human Developing Brain Regions and Cortical Areas,Cajal-Retzius cell,CL:0000695,GW22,unknown,unknown,22nd week post-fertilization human stage,1,0.003793914561044085
40,Second Trimester Human Developing Brain Regions and Cortical Areas,oligodendrocyte precursor cell,CL:0002453,GW22,unknown,unknown,22nd week post-fertilization human stage,147,0.5577054404734805
41,Second Trimester Human Developing Brain Regions and Cortical Areas,cerebral cortex GABAergic interneuron,CL:0010011,GW22,unknown,unknown,22nd week post-fertilization human stage,121,0.4590636618863343
42,Second Trimester Human Developing Brain Regions and Cortical Areas,progenitor cell,CL:0011026,GW22,unknown,unknown,22nd week post-fertilization human stage,306,1.16093785567949
43,Second Trimester Human Developing Brain Regions and Cortical Areas,forebrain radial glial cell,CL:0013000,GW22,unknown,unknown,22nd week post-fertilization human stage,318,1.2064648304120191
