,dataset_name,cell_type,cell_type_ontology_id,donor_id,sex,race,development_stage,count,percentage
0,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",erythroid progenitor cell,CL:0000038,RBG31066_XN3392,unknown,unknown,newborn human stage,430,7.479561662897895
1,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",megakaryocyte-erythroid progenitor cell,CL:0000050,RBG31066_XN3392,unknown,unknown,newborn human stage,240,4.174639067663941
2,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",common lymphoid progenitor,CL:0000051,RBG31066_XN3392,unknown,unknown,newborn human stage,619,10.767089928683248
3,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",granulocyte,CL:0000094,RBG31066_XN3392,unknown,unknown,newborn human stage,140,2.4352061228039656
4,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",proerythroblast,CL:0000547,RBG31066_XN3392,unknown,unknown,newborn human stage,158,2.7483040528787614
5,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",erythroblast,CL:0000765,RBG31066_XN3392,unknown,unknown,newborn human stage,17,0.29570360062619583
6,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",precursor B cell,CL:0000817,RBG31066_XN3392,unknown,unknown,newborn human stage,459,7.983997216907287
7,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",pro-B cell,CL:0000826,RBG31066_XN3392,unknown,unknown,newborn human stage,416,7.236041050617499
8,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",hematopoietic multipotent progenitor cell,CL:0000837,RBG31066_XN3392,unknown,unknown,newborn human stage,2551,44.37293442337798
9,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",lymphoid lineage restricted progenitor cell,CL:0000838,RBG31066_XN3392,unknown,unknown,newborn human stage,233,4.052878761523743
10,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",myeloid lineage restricted progenitor cell,CL:0000839,RBG31066_XN3392,unknown,unknown,newborn human stage,376,6.540267872673508
11,"CD34+ Fetal Bone Marrow, Fetal Liver, Cord Blood (CITE-seq)",common dendritic progenitor,CL:0001029,RBG31066_XN3392,unknown,unknown,newborn human stage,110,1.9133762393459732
